id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
2818,Quiet Garden View Room & Super Fast WiFi,3159,Daniel,,Oostelijk Havengebied - Indische Buurt,52.365754513876176,4.941419235184398,Private room,69,3,233,2018-06-24,2.06,1,116
3209,"Quiet apt near center, great view",3806,Maartje,,Westerpark,52.39022505041117,4.873924094742859,Entire home/apt,160,1,39,2018-06-25,1.09,1,12
20168,100%Centre-Private Floor/Bathroom-Lockable Studio,59484,Alex,,Centrum-Oost,52.365087026809164,4.8935410078410095,Private room,80,1,207,2018-06-20,2.04,2,99
25428,Lovely apt in City Centre (Jordaan),56142,Joan,,Centrum-West,52.37311440038617,4.883668196205626,Entire home/apt,125,14,1,2018-01-21,0.18,2,100
25488,**Lovely 3 bedrooms Apartment *,106225,Jeff,,Oostelijk Havengebied - Indische Buurt,52.36500977777169,4.943572387141248,Entire home/apt,174,3,153,2018-06-27,1.55,2,5
27886,"Romantic, stylish B&B houseboat in canal district",97647,Flip,,Centrum-West,52.38672731612469,4.892078070089338,Private room,150,2,151,2018-07-05,1.91,1,166
28658,Cosy guest room near city centre -1,123414,Michele,,Bos en Lommer,52.37534217754822,4.857289350245441,Private room,65,3,408,2018-07-01,4.12,2,262
28871,Comfortable double room,124245,Edwin,,Centrum-West,52.36718680818601,4.890917797129656,Private room,75,2,178,2018-07-01,1.86,3,207
29051,Comfortable single room,124245,Edwin,,Centrum-West,52.36772541044574,4.891511737154662,Private room,55,2,343,2018-06-30,3.85,3,240
29554,cosy jordaan located apartment,127233,Ingeborg,,Centrum-West,52.38050991692953,4.894188597719491,Entire home/apt,130,3,112,2017-09-17,1.14,2,0
31080,2-story apartment + rooftop terrace,133488,Nienke,,Zuid,52.351320541867395,4.84838289937379,Entire home/apt,219,3,32,2017-10-16,0.38,1,186
42908,2 story app. on great location.,187417,Bo And Cynthia,,De Pijp - Rivierenbuurt,52.347333529914465,4.889431280113652,Entire home/apt,115,3,9,2015-05-26,0.09,1,179
43980,View into park / museum district (long/short stay),65041,Ym,,Zuid,52.3574562838326,4.861242085387215,Entire home/apt,100,30,61,2018-02-18,0.65,1,135
44129,Luxury design with canal view,187728,Tanya,,Centrum-West,52.380711229831924,4.886104318098604,Entire home/apt,250,2,174,2018-06-30,1.81,3,5
44391,"Amsterdam Centre, 3-room Apartment",194779,Jan,,Centrum-Oost,52.37016998640934,4.914377826765493,Entire home/apt,175,3,28,2018-06-17,0.29,1,0
46386,Cozy loft in central Amsterdam,207342,Joost,,De Pijp - Rivierenbuurt,52.35247025928299,4.908254440320654,Entire home/apt,150,3,3,2018-01-03,0.03,1,0
48076,Amsterdam Central and lot of space,219080,Franklin,,Centrum-West,52.3804200178011,4.894534735097551,Entire home/apt,350,5,140,2018-06-25,1.70,2,285
49552,Historic Multatuli luxury 3bed2bath,225987,Joanna & MP,,Centrum-West,52.37924624110712,4.890226934343444,Entire home/apt,420,5,313,2018-07-01,3.34,1,17
49790,Luxurous Houseboat-Great Location,227530,Klaas,,De Baarsjes - Oud-West,52.362663786120464,4.861031740012395,Entire home/apt,225,3,94,2018-06-06,1.08,1,311
50515,"Family Home (No drugs, smoking or parties)",231864,Karin,,Bos en Lommer,52.37727239832183,4.839252562940868,Entire home/apt,120,3,11,2018-05-13,0.21,1,193
50518,Perfect central Amsterdam apartment,231806,Nikki,,Westerpark,52.382006131614766,4.878649621335048,Entire home/apt,125,3,83,2018-06-30,1.20,1,1
50523,B & B de 9 Straatjes (city center),231946,Raymond,,Centrum-West,52.368407897663175,4.884133704990546,Private room,110,2,185,2018-06-16,2.02,2,242
50570,Bright Apartment - residential area,232321,Evert,,Bos en Lommer,52.377737441667115,4.848911991360075,Entire home/apt,90,7,149,2018-01-03,1.68,2,0
52490,Amsterdam Aqua,185836,VictorLuke,,Oostelijk Havengebied - Indische Buurt,52.370045892661075,4.9386912362462985,Private room,78,3,72,2018-07-01,0.77,1,13
53067,Quiet sleeping in the green studio,246493,Studio,,De Pijp - Rivierenbuurt,52.35339266870349,4.900637642957302,Private room,87,1,287,2018-07-01,3.09,4,9
53671,Nice room near centre with en suite bath,247822,Georg,,Westerpark,52.38905337111383,4.885588535129938,Private room,75,3,240,2018-06-22,2.72,1,292
53692,Large quiet Studio with gardenview in hip area.,246493,Studio,,De Pijp - Rivierenbuurt,52.35348315568917,4.900490171525591,Private room,60,2,219,2018-06-22,2.54,4,0
55256,Luminous centric room,260785,Lotte,,Centrum-Oost,52.37125688886693,4.903513145133119,Private room,86,1,101,2018-06-16,1.12,1,102
55621,"Fully equiped house, PIJP area = great",262846,Walther,,De Pijp - Rivierenbuurt,52.35385914640455,4.897720521093292,Entire home/apt,200,3,23,2018-01-02,0.25,1,4
55703,groundfloor apartment with garden,263214,Arjan,,Bos en Lommer,52.375608160344214,4.858187467526309,Entire home/apt,250,3,3,2016-10-19,0.08,1,218
55709,Bright Loft in Centre Amsterdam,263233,Jan-Willem,,Centrum-Oost,52.35895649627122,4.897259341005234,Entire home/apt,159,5,51,2018-04-16,0.55,1,192
55807,"Greatly located, cozy atmosphere",263844,Rai & Clo,,De Baarsjes - Oud-West,52.36965708064435,4.86202542655024,Private room,60,2,150,2018-06-08,1.61,1,96
55868,Apartment near Museumplein (centre),264178,Cornelie,,Zuid,52.35613297581244,4.885149546738222,Entire home/apt,149,4,84,2018-01-05,0.92,1,9
58211,En Suite accommodation in a monumental canal house,278253,Marcel,,Centrum-West,52.36916479165701,4.88444534479915,Private room,215,3,78,2018-06-10,1.06,2,238
58600,Big Spacious and Sunny Family Suite,280614,Pieter,,Westerpark,52.381802043507484,4.868030856847246,Entire home/apt,150,5,206,2018-06-19,2.25,1,67
62015,"Charming, beautifully & sunny place",301340,Jessica,,Oud-Oost,52.36445272153109,4.931235930520656,Entire home/apt,109,2,20,2018-01-02,0.22,1,1
64736,Luxury Houseboat,306192,Conny,,De Baarsjes - Oud-West,52.363481306084545,4.8678339776210455,Entire home/apt,145,4,85,2018-05-31,1.44,1,0
64769,Unique 3 bedroom house in Centre,312863,Marijntje,,Centrum-Oost,52.36225384125853,4.901999344356419,Entire home/apt,450,4,25,2018-05-01,0.28,1,40
65230,Juwelier,213960,Riek,,Centrum-West,52.368713041376715,4.892843389610457,Entire home/apt,179,4,83,2018-01-19,0.97,1,288
67841,Amsterdam - The Pijp Apartment 1A,335166,Dene,,De Pijp - Rivierenbuurt,52.35472482794198,4.893237543427079,Entire home/apt,125,3,7,2018-07-02,0.12,1,17
68290,Rebel Private Room,336950,Manuel,,Centrum-West,52.36887077967528,4.895233891315304,Private room,109,1,529,2018-06-26,5.94,3,137
68873,Yves Klein -Private Room,336950,Manuel,,Centrum-West,52.36950063833623,4.895559709996519,Private room,109,1,499,2018-06-29,5.56,3,149
69042,Cozy Studio || Located at the canal!,344312,Kjetil,,Centrum-West,52.3735271992129,4.876905973776999,Private room,70,3,95,2018-06-27,1.08,2,153
70886,"Centre, next to Vondelpark, top ap.",239113,Peggy,,Zuid,52.36179618961851,4.881223227750638,Entire home/apt,225,2,4,2011-10-14,0.05,1,158
71231,THE AMSTERDAM EXPERIENCE !!!,363618,Philipe,,De Pijp - Rivierenbuurt,52.357303516729154,4.89138084723539,Entire home/apt,75,1,135,2018-07-04,1.53,1,139
73208,Centre Museum Quarter Apt Roof Deck,381900,Vikki,,Zuid,52.3593509829142,4.876721555693787,Entire home/apt,195,5,57,2018-04-26,0.64,1,194
74367,Dutch designer canal house apartment (city centre),391075,Ruben,,Centrum-West,52.37479553602838,4.880446471317074,Entire home/apt,260,7,10,2011-11-09,0.11,1,170
75382,Garden Suite Studiohttps://www.airbnb.com/manage-l,399879,Tina,,Oud-Oost,52.364824885646925,4.927615548923432,Private room,100,3,157,2018-06-28,1.81,3,11
75444,Cottage Room,399879,Tina,,Oud-Oost,52.365509785021295,4.92848070367906,Private room,70,3,216,2018-06-30,2.50,3,19
75583,Peaceful Rooms Amsterdam with View,59059,Marius,,Slotervaart,52.3652207097282,4.838338483915448,Private room,60,4,251,2018-05-31,2.83,1,27
76668,"studio INN, bright and spacious",409579,Guido,,Westerpark,52.38897577588911,4.890432078271875,Private room,135,2,22,2018-07-05,0.89,1,252
82482,The Backroom - Central private appt,186729,Shawna,,Centrum-West,52.37025973342051,4.8800301947340445,Entire home/apt,95,1,647,2018-06-27,7.53,1,192
82748,Bright apt in central Amsterdam,450453,Rudolf,,Centrum-West,52.37307393018357,4.893431575249236,Entire home/apt,235,3,114,2018-06-23,1.29,2,190
83498,Single attic room for one person only,124245,Edwin,,Centrum-West,52.36722763483103,4.8912353178468555,Private room,45,2,368,2018-07-02,6.97,3,202
83814,Central Studio apartment in Trendy De Pijp,457263,Daniel,,De Pijp - Rivierenbuurt,52.35632458497059,4.88920966951974,Entire home/apt,110,2,139,2018-03-18,1.58,1,245
84057,Bed&Bike SleepOnNature - free bikes,459028,Stefania,,De Baarsjes - Oud-West,52.36487799770621,4.851095907658351,Private room,100,2,55,2018-06-28,0.64,5,314
91535,"Houseboat ""Ramona"" Amsterdam centre",494281,Michiel,,De Pijp - Rivierenbuurt,52.357253879494685,4.8958791452777914,Entire home/apt,189,3,28,2018-06-21,0.33,1,0
96048,De Baronie B&B in historic centre,510526,Tuhami,,Centrum-Oost,52.3727002322338,4.907761448144871,Private room,75,1,110,2018-06-28,2.65,2,350
97221,Beautiful and spacious room,195859,Gianni,,Slotervaart,52.34910345830748,4.836112244063564,Private room,65,2,120,2018-06-12,1.41,2,334
107195,"A'dam Centre, Bright and Comfy",249794,Marieke,,Centrum-Oost,52.37007447331487,4.919603853810987,Entire home/apt,150,3,26,2018-04-14,0.31,1,0
107972,museums and music,558976,Joke,,De Baarsjes - Oud-West,52.36397157038665,4.876509426612257,Entire home/apt,100,3,71,2018-06-20,0.82,1,46
108890,Amsterdam at its best,563208,Jorien,,De Baarsjes - Oud-West,52.360829254313956,4.856667424731347,Entire home/apt,100,5,3,2018-05-30,0.20,1,0
118097,"all private, art @ home in city center-1",538659,Wendie And Hans,,Centrum-West,52.365705366407134,4.884636190342679,Private room,99,4,286,2018-07-03,3.76,2,89
118117,Lovely self contained studio in Oud West,596513,Nina & Benjamin,,De Baarsjes - Oud-West,52.36888343604765,4.8695483308640055,Private room,87,3,458,2018-06-20,5.37,3,209
118302,Light & Cosy Apartment in Old West,596513,Nina & Benjamin,,De Baarsjes - Oud-West,52.36654774341584,4.865235358421669,Entire home/apt,120,4,18,2017-09-09,0.25,3,239
119023,"MODERN & HIP STUDIO in the JORDAAN, in CITY CENTER",601183,Greet,,Centrum-West,52.37515330278036,4.876576402944742,Entire home/apt,145,3,25,2018-07-01,0.30,1,24
120872,Retro Luxury Apartment,607597,Martijn,,Bos en Lommer,52.381931715349765,4.855407320845144,Entire home/apt,99,2,138,2018-05-27,1.64,2,181
125425,Bohemian apartment in nice area,623749,Elwin,,Oud-Oost,52.36097457391602,4.9276114601574,Entire home/apt,100,3,38,2016-11-14,0.45,1,0
130390,Large private room for rent Center / De Pijp,642044,Jessy,,De Pijp - Rivierenbuurt,52.35516967099702,4.8896934048978045,Private room,80,2,29,2017-10-15,0.35,1,0
137026,Entire house with garden in De Pijp,670266,Ton & Fede,,De Pijp - Rivierenbuurt,52.35360906374398,4.90562103218313,Private room,259,3,81,2018-05-13,1.02,1,167
141708,light modern & cosy apartment,689016,Cindy,,Oostelijk Havengebied - Indische Buurt,52.36460689704278,4.938920082534415,Entire home/apt,98,6,80,2018-04-02,0.94,1,0
150634,Lovely apartment near Vondelpark,725727,Colin Jeffrey,,De Baarsjes - Oud-West,52.36673740948231,4.867455513006409,Entire home/apt,100,2,51,2018-06-21,1.89,1,0
150689,Quiet basis for Amsterdam-visit,725943,Han,,Geuzenveld - Slotermeer,52.374424501658666,4.808575171361844,Entire home/apt,80,2,132,2018-07-02,1.62,1,186
152280,100% independent studio with balcony and WiFi,732783,Max Osole,,Bos en Lommer,52.37961371756431,4.854432292549279,Private room,89,1,543,2018-07-02,6.36,3,281
156815,Welcome on our 30p ship in Amsterdam!,753530,Averechts,,Oud-Noord,52.3889228110243,4.940242639590474,Entire home/apt,695,2,24,2018-04-08,0.30,1,176
158466,100% private Sunny studio close to city centre,732783,Max Osole,,Bos en Lommer,52.377653243215086,4.854959060585818,Private room,79,1,497,2018-07-01,5.90,3,296
162467,Modern 1bedroom app. near city cent,776296,Nicole,,De Baarsjes - Oud-West,52.36367589364938,4.855056296869676,Entire home/apt,145,3,45,2018-06-13,0.68,1,303
165833,Amsterdam at your feet,790547,Bart,,De Baarsjes - Oud-West,52.3733601256194,4.857537320392232,Entire home/apt,74,2,37,2018-05-23,0.80,1,0
169356,"Roofterrace 360', Zen & Canal-View",806976,Nick,,Centrum-West,52.381717144651354,4.883104127485947,Entire home/apt,220,6,16,2018-05-12,0.19,1,116
171054,Spacious apartment next to center,815989,Kamiel,,De Baarsjes - Oud-West,52.369163865035894,4.86643475054097,Entire home/apt,120,3,102,2017-12-21,1.20,1,0
171631,"Pleasant,cosy & crazy apartment with small balcony",818479,Keja,,De Baarsjes - Oud-West,52.36338791622051,4.854023483245943,Entire home/apt,89,3,45,2018-04-03,0.53,1,331
174592,Cosy Apt | IN CITY CENTRE | Close to Artis Zoo,834139,Daniel,,Centrum-Oost,52.362082041829765,4.91009634102183,Entire home/apt,80,2,132,2018-06-14,1.57,1,15
175989,"Large, sunny, lovely roofterrace! 2 awesome cats",58458,Dre&Kareltje,,De Baarsjes - Oud-West,52.359635047312665,4.86712810037115,Entire home/apt,100,1,99,2018-04-13,1.20,1,180
176423,Stay in the heart of Amsterdam!,843692,Janneke,,De Pijp - Rivierenbuurt,52.35262260689756,4.894896631953908,Entire home/apt,90,5,63,2017-09-20,0.76,1,16
179528,Authentic Amsterdam apartment RAI,856540,Pierre,,De Pijp - Rivierenbuurt,52.34231257943105,4.894194976598042,Entire home/apt,230,29,27,2018-05-31,0.33,2,332
184282,Romantic apartment in the heart of the city,883996,Annabelle,,Centrum-Oost,52.3632132423945,4.889051424334264,Entire home/apt,230,3,148,2018-06-19,1.83,1,301
188347,Clean & Cozy room + Free Bikes,907405,Yahav,,De Baarsjes - Oud-West,52.3682390801243,4.853210748039302,Private room,50,1,305,2018-06-20,3.65,2,1
189754,Metropolitan B&B centre Amsterdam,915591,Marijn,,Centrum-West,52.37433431603307,4.89246876049259,Private room,160,2,111,2018-07-04,1.34,1,250
190585,Cozy bright place with Garden !,920732,Cornelia,,Westerpark,52.384872118192305,4.872481357594563,Entire home/apt,110,3,81,2018-04-15,0.97,1,9
190943,Lovely light appartment with garden,922787,Nanna,,Zuid,52.352213808609335,4.846612397531583,Entire home/apt,150,5,7,2015-05-05,0.10,1,32
193038,17thC. studio center Amsterdam,935742,Johan,,Centrum-Oost,52.36087117968658,4.895590649743387,Private room,95,3,460,2018-07-02,5.54,1,231
198307,The best spot to discover Amsterdam,967796,Marie-Katrien,,Centrum-West,52.38393030999055,4.89237125764235,Entire home/apt,100,13,37,2017-05-03,0.44,1,0
200461,Studio next 2 V´park near Leidsepl.,539840,Johanna,,De Baarsjes - Oud-West,52.35930674965399,4.861108430236531,Entire home/apt,79,3,32,2017-08-15,0.38,1,78
201322,TOP-LOCATION with PRIVATE ROOF-TERRACE in centre.,542540,Bart,,Centrum-West,52.37184057754969,4.881707856110731,Entire home/apt,80,1,55,2018-05-17,0.68,1,229
203658,Best Area - Large Luxury 3 Bdr Home,999036,Eelco,,Zuid,52.347439162272735,4.868860660076601,Entire home/apt,284,3,25,2017-07-02,0.32,1,0
204014,Well located apartment for you!,1001281,Irma,,De Baarsjes - Oud-West,52.37086528996354,4.8659566161588055,Entire home/apt,110,5,14,2017-08-16,0.17,1,18
205759,Central yet quiet studio apartment,1011967,Tim,,De Baarsjes - Oud-West,52.368891874036485,4.864288391158311,Entire home/apt,99,1,2,2015-07-27,0.06,1,0
210847,Lux canal apt in Center! 75sqm,989665,Michele,,Centrum-Oost,52.3595959791648,4.892887693431657,Entire home/apt,250,3,17,2017-10-28,0.20,1,59
211408,Nice apt close to Amstel&citycenter,1090600,Flavio,,Watergraafsmeer,52.34960602639994,4.917382651717473,Private room,50,2,150,2018-06-22,1.81,1,309
212050,Spacious home w roof garden,887591,Danielle,,De Baarsjes - Oud-West,52.36894703660459,4.864515338244789,Entire home/apt,180,3,13,2018-04-29,0.16,1,214
213721,Amsterdam Apartment (waterview),599238,Anouk,,Zuid,52.35165078027672,4.846533443446924,Entire home/apt,119,1,32,2018-04-22,0.39,1,186
214531,LUXURIOUS GUESTHOUSE in CITY CENTER,1107389,Henry,,Centrum-West,52.37068836237494,4.895157177391901,Private room,99,3,144,2018-06-22,1.77,1,216
217692,THE AMSTERDAM RAI EXPERIENCE / FREE PARKING / WIFI,1124563,Nicole,,De Pijp - Rivierenbuurt,52.33761522397163,4.893596487180915,Entire home/apt,95,3,12,2018-06-20,0.26,1,356
222516,Homely and tasteful apartment in Amsterdam,1155595,Alex,,De Baarsjes - Oud-West,52.3610982308987,4.858935153103976,Entire home/apt,100,3,97,2018-06-03,1.19,1,37
226121,Great apartment in top neighborhood,1178877,Eric,,De Baarsjes - Oud-West,52.359573011185105,4.86589459094221,Entire home/apt,165,4,78,2018-06-28,0.95,1,31
228174,BEAUTIFUL Canal View Loft in heart of Amsterdam,1174266,Sanne & Martijn,,Centrum-Oost,52.3733964049231,4.905976787557855,Entire home/apt,159,3,30,2017-09-12,0.59,1,0
230710,Jordaan apt with views of channels and Westerkerk,1205924,Peter,,Centrum-West,52.375914346668075,4.878066562935041,Entire home/apt,125,14,15,2018-06-21,0.20,1,3
231771,"Green area sweet apartment, unique location!",1211877,Anne,,De Baarsjes - Oud-West,52.36023586472328,4.85411587875052,Entire home/apt,79,3,21,2015-03-28,0.26,1,181
236180,Modern stylish apartment,1238074,Rozemarijn,,Centrum-West,52.36573647010967,4.8802090220914405,Entire home/apt,175,3,2,2016-09-11,0.05,1,0
236632,Charming 1 BR apartment in museum district,77484,Annelies,,De Pijp - Rivierenbuurt,52.35613973312535,4.888475752086381,Entire home/apt,80,7,99,2018-05-16,1.24,6,104
237017,Cozy & stylish near Jordan/Centre,1158389,Anke,,De Baarsjes - Oud-West,52.3714933602559,4.862764028623305,Entire home/apt,80,3,17,2018-02-26,0.25,1,0
245927,Sonnenberg - Canal side & view - Most central spot,1005087,Wytse,,Centrum-West,52.36791223428661,4.888085819078586,Entire home/apt,359,3,49,2018-05-11,0.65,2,3
247805,"Bellavista, central,with canal view",1298735,Carolien,,De Baarsjes - Oud-West,52.36588424052564,4.872613822339189,Private room,119,2,262,2018-06-27,3.24,1,281
249693,Brand New City Center Apartment,1308372,Alexander,,Zuid,52.35858153075625,4.885856351818808,Entire home/apt,150,3,9,2017-06-18,0.15,2,155
250702,Charming Full Option Amsterdam Apt,1314459,David,,De Pijp - Rivierenbuurt,52.346035277702406,4.897093661068418,Entire home/apt,120,3,37,2017-02-22,0.47,1,0
250751,Modern studio near central AMS,1314658,Mira,,Oostelijk Havengebied - Indische Buurt,52.36609902269462,4.932987129096548,Entire home/apt,70,4,93,2018-04-02,1.16,1,0
252725,Nice Amsterdam apt great location,1326878,Roshni,,De Baarsjes - Oud-West,52.36718586381298,4.867373589491419,Entire home/apt,175,2,40,2018-07-01,0.54,1,3
253792,Luxury City Center Apartment,106225,Jeff,,Centrum-West,52.37408073348525,4.897792585847226,Entire home/apt,193,4,70,2018-05-18,0.88,2,18
254104,The Flying Pancake B&B Amsterdam,1334704,Claudia,,Centrum-Oost,52.36513246667161,4.908371799288464,Private room,145,2,54,2018-06-29,1.41,1,295
254488,"FREE PARKING! Comfy Bed ,Cozy room",1108566,Lennard,,Geuzenveld - Slotermeer,52.383099580194624,4.805309432923298,Private room,60,3,110,2018-04-02,1.35,2,0
254800,Amazing apartment in city center,1337537,Diederik,,Centrum-West,52.371308697430095,4.882063422033224,Entire home/apt,164,3,39,2018-06-30,0.62,1,14
255177,"Room with sauna, patio and garage!",1340887,Carolien & Marcel,,De Pijp - Rivierenbuurt,52.35698087792092,4.890688061048634,Private room,115,4,75,2018-07-04,3.39,1,7
255809,Stylish apartment with free carpark,1344947,Froukje & André,,De Pijp - Rivierenbuurt,52.34425830623576,4.887220320280407,Private room,150,2,60,2018-06-25,0.80,1,2
256340,Central Amsterdam Apt,1348274,John,,Centrum-Oost,52.36835101492164,4.924069390070279,Entire home/apt,100,4,4,2017-07-14,0.07,2,0
256670,"Caracteristic, family apartment",1350388,Stefan,,De Baarsjes - Oud-West,52.35941331459236,4.85995300757864,Entire home/apt,168,7,6,2018-01-05,0.10,1,13
260187,Lovely Bright Apartment in the East,1365416,Marike,,Oud-Oost,52.3580919064273,4.935606229701712,Entire home/apt,99,4,26,2015-08-16,0.34,1,0
260302,Houseboat HOT SPOT Amsterdam 2/4pers.Entire boat,1365869,Pauline,,Oud-Oost,52.35219808493511,4.9100400327232885,Entire home/apt,295,3,40,2018-07-03,0.53,1,59
261902,Stylish family home with serre and garden!,226808,Caroline,,Oud-Oost,52.35605072558158,4.919385692227501,Entire home/apt,225,3,38,2018-04-02,0.51,1,10
262209,AirbnBABY! Family holiday made easy,1375554,Claire,,Oostelijk Havengebied - Indische Buurt,52.3616422185585,4.938273700070705,Entire home/apt,73,2,11,2017-11-05,0.14,1,0
262394,Charming Studio with Roof Terrace,1376607,Martin,,Zuid,52.35519127920091,4.851167699222689,Private room,96,4,97,2018-06-21,1.28,1,7
265349,"Private, central & luxurious apment",1391689,Fleur,,De Baarsjes - Oud-West,52.360478436352,4.8634504578406945,Entire home/apt,85,2,19,2013-01-08,0.23,1,3
270839,Quiet room in sunny apartment on canal,1417625,Jan And Tota,,Bos en Lommer,52.37745205487656,4.8599447044445405,Private room,70,3,151,2018-06-29,2.04,1,36
271599,No.2,1421327,Holger,,Zuid,52.352710740060054,4.857715661493579,Private room,900,2,173,2016-07-01,2.18,2,0
272597,"Luxury appartm, good neighbourhood",1426693,Arnoud,,Zuid,52.3463259409881,4.856285933979298,Entire home/apt,120,4,6,2018-04-08,0.17,1,0
274688,Cozy sleeping in popular Amsterdam West,1435990,Marij,,Bos en Lommer,52.378429803881374,4.854837092707593,Entire home/apt,125,2,34,2017-11-18,0.43,1,0
276275,Great loft: live the good life. Next to the RAI.,1443641,Gideon,,De Pijp - Rivierenbuurt,52.339212736160064,4.8937594617644065,Entire home/apt,169,4,22,2017-11-25,0.31,1,322
277011,nice apartment in centre amsterdam,1446698,Aafje,,De Baarsjes - Oud-West,52.358295084395394,4.859091947726598,Entire home/apt,125,3,15,2018-05-05,0.20,1,1
282269,Your central home in wonderful AMS!,1471195,Judith,,Zuid,52.350174187638444,4.852550385021249,Entire home/apt,115,10,3,2015-09-15,0.05,1,0
283170,5-bedrooms house; central location,1451657,Marco,,Zuid,52.35353190803815,4.87513957048843,Entire home/apt,950,2,94,2018-05-20,1.24,1,358
283621,Luxury in CITY-CENTRE!,1477248,Erik,,Centrum-West,52.38057059973005,4.885651833945759,Entire home/apt,105,7,25,2018-06-30,0.32,9,66
284319,Excellent Room 3 centre Amsterdam,1480817,Gerard,,Centrum-Oost,52.360092579387,4.894611813107176,Private room,115,2,16,2018-01-03,0.20,2,305
286500,"Center,Canal View, Private Bathroom",1491565,David,,Centrum-West,52.374969607052044,4.898844426998336,Private room,125,3,217,2018-07-03,2.77,2,249
288967,BandB de Baarsjes Amsterdam,1501422,Erwin,,De Baarsjes - Oud-West,52.361917846575416,4.855506729617166,Private room,30,2,342,2018-06-29,4.59,1,187
289071,"Romantic houseboat in Jordaan, private room.",1501819,Tanneke,,Centrum-West,52.38037332265366,4.880206599315086,Private room,90,3,165,2018-06-08,2.09,1,58
290701,"Center, Large&Sunny Room,Pvt Bathrm",1491565,David,,Centrum-West,52.37614418117013,4.89893668521752,Private room,121,3,252,2018-07-03,3.25,2,252
291637,cosy bedroom | garden | near center | breakfast,1247363,Alexa & Scott,,Watergraafsmeer,52.35250591463525,4.9433842147967235,Private room,95,2,8,2018-02-12,0.11,2,0
291752,Cozy & large bohemian style room ,1511330,Ton,,Oud-Oost,52.35278647339952,4.912563881379626,Private room,89,2,169,2018-07-01,2.13,1,298
293337,Sunny Apartment along river IJ,1493495,Tinda,,Oud-Noord,52.381705180975445,4.91440092191971,Private room,105,4,22,2018-06-03,0.29,1,327
