id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
2352,"Triplex-2chmbrs,grande sdb,terrasse= tous confort",2582,Oda,,Molenbeek-Saint-Jean,50.85786611506554,4.30808600362801,Entire home/apt,93,2,14,2017-09-17,0.28,3,232
2354,COURT/Long- 1chmb+1salon+sdd+terras,2582,Oda,,Molenbeek-Saint-Jean,50.856966232741,4.3065123972664034,Entire home/apt,78,2,1,2016-04-25,0.04,3,309
42521,Ixelles: spacious bedroom+boudoir+ensuite bathroom,185699,Claire,,Ixelles,50.81929189353169,4.387895261818874,Private room,45,1,44,2018-05-12,0.47,1,318
45145,B&B Welcome to my place -  2,199370,Erick,,Saint-Josse-ten-Noode,50.85299547153421,4.369712565083029,Private room,70,2,2,2010-11-06,0.02,2,242
48180,Top Apart/location 0 default 2rooms,219560,Ahmet,,Woluwe-Saint-Pierre,50.838211882079264,4.4068313703104955,Entire home/apt,200,2,0,,,1,365
52796,Bright apartment in Ixelles/Louise,244722,Pierre,,Ixelles,50.83356123714591,4.360269934280732,Entire home/apt,82,3,83,2018-04-29,0.94,1,326
71744,Sunny and Quiet City Centre,368362,Amandine,,Bruxelles,50.85426639611027,4.348423212295085,Entire home/apt,69,5,5,2018-02-12,0.64,1,0
77979,Guesthouse in the heart of Brussels,418931,Cedric,,Bruxelles,50.8555754809655,4.352586875531144,Private room,110,2,2,2012-06-24,0.02,1,57
78561,Beautiful room with views in the center,422138,Sylvia,,Ixelles,50.82756727667054,4.371445449067174,Private room,60,1,48,2018-05-07,0.56,2,364
79356,"B&B ""Marianne""",427339,Marianne,,Bruxelles,50.887729174372154,4.338888229359132,Private room,75,2,3,2017-09-09,0.08,1,291
80257,New-York,433586,Kristella/Francesco,,Anderlecht,50.839047937527056,4.335211269146774,Entire home/apt,95,1,2,2017-11-26,0.03,16,354
80320,Médina,433586,Kristella/Francesco,,Anderlecht,50.839463612754315,4.335673342250514,Entire home/apt,85,1,33,2018-04-29,0.39,16,354
80373,Villa Romaine,433586,Kristella/Francesco,,Anderlecht,50.839582899125766,4.335449356855947,Entire home/apt,85,1,2,2018-03-25,0.08,16,353
88206,Large room in leafy neighbourhood,482601,Cheryl,,Watermael-Boitsfort,50.80848424353849,4.402841504858036,Private room,60,2,8,2013-09-24,0.09,1,0
96293,Grand Famille Luxe,433586,Kristella/Francesco,,Anderlecht,50.841301940032594,4.336544383875773,Entire home/apt,135,1,45,2018-02-14,0.53,16,343
96642,Violetta,433586,Kristella/Francesco,,Anderlecht,50.84076309072785,4.335443209618916,Entire home/apt,70,1,19,2018-04-19,0.22,16,326
96694,Mimosa,433586,Kristella/Francesco,,Anderlecht,50.83907704131376,4.335557703058874,Entire home/apt,85,1,28,2017-11-26,0.35,16,331
97740,A la Villa des Roses Voltaire B&B,517059,Benoît,,Schaerbeek,50.86985967297261,4.377116838550772,Entire home/apt,95,2,3,2016-05-26,0.04,2,339
97768,Charming & cosy B&B in Uccle.,510480,Françoise,,Uccle,50.80532472705899,4.332265169501492,Private room,75,2,0,,,2,312
106677,Charming Flat/Studio with garden.,510480,Françoise,,Uccle,50.80640034779411,4.334873103022074,Entire home/apt,75,3,0,,,2,241
118707,"Appart. ""Sydney""",433586,Kristella/Francesco,,Anderlecht,50.840527312751746,4.335207701181537,Entire home/apt,95,1,40,2018-02-10,0.47,16,351
130097,Very close to Grand'Place,641036,Akemi,,Bruxelles,50.845820405298674,4.349537722344146,Private room,100,2,23,2018-04-01,0.27,2,288
134357,"Gare du Midi - Appart.  ""Florence""",433586,Kristella/Francesco,,Anderlecht,50.84038654907868,4.336644731509155,Entire home/apt,70,1,7,2018-04-22,0.15,16,328
134361,"Gare du Midi - Appart.  ""Lilas""",433586,Kristella/Francesco,,Anderlecht,50.839033407567285,4.335374003312638,Entire home/apt,80,1,5,2017-04-20,0.08,16,334
134504,"Gare du Midi - Appart.  ""Villarosa""",433586,Kristella/Francesco,,Saint-Gilles,50.838770757605886,4.337392997238789,Entire home/apt,80,1,9,2017-03-10,0.11,16,339
134581,Big Family / Grande famille 2,433586,Kristella/Francesco,,Anderlecht,50.83937253192943,4.33669898111155,Entire home/apt,120,1,54,2018-04-25,0.64,16,357
134687,Design Apartment near center,660744,Alexandre,,Uccle,50.8120842994818,4.347997978507072,Entire home/apt,55,3,25,2017-09-25,0.66,1,0
137738,"Very large apartment, sunlight, great location!",673355,Charlotte,,Forest,50.81903909316665,4.336019270069288,Entire home/apt,65,14,2,2013-08-01,0.02,1,349
137971,3-bedroom Apartment in EU District,674142,RAS Residence,,Bruxelles,50.84633759501808,4.374660343100498,Entire home/apt,160,1,49,2018-05-13,0.63,7,314
148114,"Gare du Midi - Appart.  ""Savane""",433586,Kristella/Francesco,,Saint-Gilles,50.83934014796455,4.336920419731427,Entire home/apt,95,1,11,2016-10-02,0.13,16,342
148797,Big appt 3 bedroom with Garden,717733,Grégoire,,Etterbeek,50.83040094779938,4.384544410644356,Entire home/apt,100,5,12,2017-08-13,0.21,1,318
159836,"Duplex, typisch Brussels herenhuis.( geen keuken )",766382,Lucile,,Schaerbeek,50.87373725204991,4.381300550323147,Entire home/apt,39,2,61,2018-04-27,1.91,1,165
