id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
2384,Hyde Park-Walk to UChicago or Theological Seminary,2613,Rebecca,,Hyde Park,41.78886490087766,-87.58670890962763,Private room,50,2,117,2018-05-14,2.86,1,195
4505,"One great apartment, 332 great reviews, 1 bad one.",5775,Craig & Kathleen,,South Lawndale,41.854952624963666,-87.69696178980683,Entire home/apt,120,2,346,2018-05-10,3.09,1,184
6715,Lincoln Park Oasis - Unit 2 ONLY,15365,Reem,,Lincoln Park,41.92926222112926,-87.66009125412157,Entire home/apt,255,4,85,2018-05-14,0.78,2,291
7126,Tiny Studio Apartment 94 Walk Score,17928,Sarah,,West Town,41.9028949379226,-87.68182159890866,Entire home/apt,80,2,287,2018-04-20,4.89,1,289
9811,Barbara's Hideaway - Old Town,33004,At Home Inn,,Lincoln Park,41.917689236120225,-87.63787943696494,Entire home/apt,150,3,19,2018-03-18,0.38,11,312
10610,3 Comforts of Cooperative Living,2140,Lois And Ed,,Hyde Park,41.79708495075886,-87.59194893566665,Private room,35,2,27,2017-12-16,0.62,5,250
10945,The Biddle House (#1),33004,At Home Inn,,Lincoln Park,41.91182684931927,-87.63999816109653,Entire home/apt,215,3,5,2018-04-25,0.10,11,307
12068,Chicago GOLD COAST 1 Bedroom Condo,40731,Dominic,,Near North Side,41.90452089792653,-87.6332002165527,Entire home/apt,99,3,8,2017-10-24,0.20,1,122
12140,Lincoln Park Guest House,46734,Sharon And Robert,,Lincoln Park,41.923353078282275,-87.64950965740992,Private room,259,2,2,2016-06-06,0.06,1,344
22362,*** Luxury in Chicago! 2BR/ 2Ba / Parking / BBQ **,85811,Craig,,West Town,41.896168045817014,-87.66041074465691,Entire home/apt,110,60,9,2014-10-12,0.17,1,184
22651,beautifully furnished 3 bed/1bath 1,87231,Jeff And JoAnne,,Lake View,41.949105167408675,-87.65790583136416,Entire home/apt,185,1,157,2018-04-22,1.62,18,120
24833,Private Apt 1 Block to Fullerton L Red Line - Deck,101521,Red,,Lincoln Park,41.92679106544701,-87.65521134306644,Entire home/apt,99,32,36,2017-11-30,0.37,4,252
25267,Wrigleyville beautifully furnished 3 bedroom #2,87231,Jeff And JoAnne,,Lake View,41.94750674317872,-87.65928448895485,Entire home/apt,105,1,143,2018-05-08,1.53,18,206
25269,"Old Town, Furnished 2 bedroom: SWG",87231,Jeff And JoAnne,,Lincoln Park,41.914226296141905,-87.63846121515834,Entire home/apt,115,1,150,2018-05-03,1.55,18,232
25879,Top 2/1  Block to Fullerton L Red Line Deck & Yard,101521,Red,,Lincoln Park,41.926934531158814,-87.65752710877798,Entire home/apt,99,32,43,2017-09-18,0.45,4,323
28749,3 bedroom Dramatic Bucktown LOFT,27506,Laurie,,Logan Square,41.920829981874995,-87.68010383601577,Entire home/apt,450,2,47,2018-01-01,0.52,1,347
32346,Couch in Irving Park East (Pulls out to Queen bed),139926,Ryan&Rachel,,Irving Park,41.94795832198573,-87.70332048754027,Shared room,33,1,2,2017-06-26,0.02,4,0
37738,Andersonville - Perfect location!,162364,Mat And Randy,,Uptown,41.97384553261117,-87.665389385576,Private room,74,3,224,2018-04-29,2.35,1,230
39742,Central guestroom! Walk everywhere!,170758,Eric,,Near North Side,41.89377490037404,-87.63465211289514,Private room,75,2,428,2018-05-01,4.63,1,218
44020,2 Bedrm 1 Block to Fullerton L  - Deck with Grll,101521,Red,,Lincoln Park,41.92673030057498,-87.65730729203216,Entire home/apt,80,32,50,2017-10-01,0.61,4,253
46151, Furnished Junior 1 Bedroom :SW1R,87231,Jeff And JoAnne,,Lincoln Park,41.913306356687855,-87.63964488411452,Entire home/apt,75,1,201,2018-04-29,2.15,18,202
46154,Old Town Lincoln Park studio: 2F,87231,Jeff And JoAnne,,Lincoln Park,41.91287206416307,-87.63978766554311,Entire home/apt,65,1,184,2018-05-08,1.98,18,203
49893,1 Bedrm 1 block from Wrigley Field,87231,Jeff And JoAnne,,Lake View,41.949183302968045,-87.65845858800222,Entire home/apt,70,1,225,2018-04-29,57.20,18,117
53497,Wrigley 2 BD /2 Bath Duplex: OD2F,87231,Jeff And JoAnne,,Lake View,41.935409502995114,-87.66711358986662,Entire home/apt,95,1,59,2018-03-25,0.64,18,123
53499,Wrigley 2 BD/ 2 Bath Duplex:OD2R,87231,Jeff And JoAnne,,Lake View,41.933815069108,-87.66638999723857,Entire home/apt,95,1,81,2018-04-15,0.88,18,0
56802,Beautiful 2 BR Old Town Lincoln Pk,87231,Jeff And JoAnne,,Lincoln Park,41.91264188381096,-87.63979373615418,Entire home/apt,155,1,216,2018-04-29,2.40,18,163
71930,"Rest, Relax and Explore",334241,Michael And Veronica,,West Town,41.8968655518506,-87.67988892129965,Private room,59,4,42,2018-05-04,0.49,2,92
79101,5★Cubs/Beach!AragonTRAIN2Bdrms/Ba,272671,Two For The Road,,Uptown,41.967924062527324,-87.657568608925,Private room,180,2,142,2018-03-18,1.63,4,338
84042,The Explorer Room,334241,Michael And Veronica,,West Town,41.89693077410186,-87.68032885587718,Private room,60,3,35,2018-05-06,0.41,2,78
