id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
6983,Copenhagen 'N Livin',16774,Simon,,Nrrebro,55.68798286290124,12.545712938975294,Private room,331,2,113,2017-11-03,1.08,1,50
26057,Lovely house - most attractive area,109777,Kari,,Indre By,55.69162651586008,12.574590694511738,Entire home/apt,1998,3,34,2017-10-27,0.64,1,253
26473,City Centre Townhouse Sleeps 1-12 persons,112210,Oliver,,Indre By,55.67589546993193,12.576976872044,Entire home/apt,3088,3,220,2018-03-08,2.40,1,195
27747,Nice & central Copenhagen. Room#1,119886,Frederic,,Frederiksberg,55.67965415118332,12.54651696179253,Private room,572,1,144,2016-12-15,1.51,3,0
29118,Best Location in Cool Istedgade,125230,Nana,,Vesterbro-Kongens Enghave,55.67068701104055,12.554304288918235,Entire home/apt,801,7,17,2016-08-24,0.18,1,266
30557,Great Place in Center of Copenhagen,131674,Bertrand,,Indre By,55.68116660513406,12.565206939554358,Private room,584,2,390,2018-04-11,4.21,1,1
31094,"Very central and cozy, new kitchen",129976,Ebbe,,Vesterbro-Kongens Enghave,55.667435510456336,12.55515850848884,Entire home/apt,752,2,17,2017-08-25,0.18,1,107
31151,Nice & central for family/group,119886,Frederic,,Frederiksberg,55.6819005489799,12.545548134581805,Entire home/apt,1047,4,3,2017-07-29,0.04,3,16
32379,1668 ft2 artist flat on Vesterbro,140105,Lise,,Vesterbro-Kongens Enghave,55.67368110190391,12.552475961563836,Entire home/apt,1077,3,61,2018-04-06,0.65,2,5
32841,Cozy flat for Adults/Quiet for kids,142143,Anders & Maria,,sterbro,55.71158035643203,12.5687910468878,Entire home/apt,590,6,7,2016-09-15,0.07,1,292
33680,Best location on Vesterbro/Cph,145671,Mette,,Vesterbro-Kongens Enghave,55.66756344722237,12.545104884151993,Entire home/apt,1102,3,63,2017-11-26,0.67,1,281
