id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
12089682,The Hayloft Balerno Edinburgh-Rural Chique,29166668,Christopher,,Balerno and Bonnington Village,55.867460125926776,-3.3839649155661564,Entire home/apt,90,3,7,2017-08-29,1.15,1,308
15376173,Edinburgh Hideaway in the Pentland Hills,91235857,Resy,,Balerno and Bonnington Village,55.87065543017362,-3.334703649195765,Entire home/apt,75,3,9,2017-09-12,1.74,1,338
7238099,Single Room in Edinburgh,36265009,Sandra,,Balerno and Bonnington Village,55.88902851972418,-3.341193641378838,Private room,20,2,10,2016-09-22,0.39,2,0
19837033,Traditional Cosy Farm Cottage,10330501,Stella,,Balerno and Bonnington Village,55.86765810172111,-3.358068866875045,Entire home/apt,60,2,7,2017-09-16,3.96,1,359
8688048,Your trip to the  Edinburgh Festival :Perfect base,39385906,Wendy,,Balerno and Bonnington Village,55.87533783284992,-3.343428106427695,Private room,25,3,1,2016-08-30,0.08,2,0
19797894,Beautiful newly decorated - 2 bed Apartment,139278818,Brian,,Balerno and Bonnington Village,55.88471673069407,-3.338346355743166,Entire home/apt,95,3,6,2017-08-24,4.09,1,128
8211488,Gorgeous double bedroom ideal Edinburgh decoration,39385906,Wendy,,Balerno and Bonnington Village,55.87332967498686,-3.345941895108363,Private room,32,5,0,,,2,0
19547099,Lovely two bedroom flat in Balerno Edinburgh,37771622,Fiona,,Balerno and Bonnington Village,55.884298680584045,-3.340940770667307,Entire home/apt,55,28,3,2017-09-01,1.32,1,357
4935807,Country Setting with Ensuite,7779635,Rebecca,,Currie West,55.89952484555102,-3.343236190847358,Private room,45,1,64,2017-09-09,2.03,1,342
9975481,"Bright, spacious comfortable rooms",36820892,Michelle,,Currie West,55.89281025775144,-3.318826524629822,Private room,35,2,7,2017-08-13,0.34,2,0
15264905,Beautiful Studio Apartment,97092219,Rosie,,Currie West,55.91873536993568,-3.3183941190465167,Entire home/apt,50,3,8,2017-09-02,0.92,1,100
9088248,"Bright, spacious, comfortable home",36820892,Michelle,,Currie West,55.895033426946256,-3.3189839644120958,Entire home/apt,100,1,12,2017-08-20,0.58,2,11
19917837,"Edinburgh Fringe/Festival 2 bed house, sleeps 4",141088418,Wendy,,Currie West,55.897682669591774,-3.3156321490252787,Entire home/apt,100,3,0,,,1,62
7596097,"Cosy double bedroom, ensuite & wifi",39833505,Heather,,Currie West,55.89907524270888,-3.3160698552847516,Private room,65,1,12,2017-09-04,0.47,1,351
6919311,Spacious double room in Edinburgh,36265009,Sandra,,Currie West,55.891114084306736,-3.341114359468944,Private room,45,1,21,2017-08-23,0.81,2,0
20352873,The Currievale,16412273,Gavin,,Currie West,55.896000316965385,-3.327856456122847,Private room,50,1,3,2017-09-09,3,1,55
17416652,Bright spacious double room for Edinburgh Festival,51141204,Carol,,Currie West,55.89765653809881,-3.317357616740815,Private room,40,1,15,2017-09-03,2.81,1,110
6850189,"Lovely home, 15 mins to city centre",35892484,Lyndsay,,Currie West,55.89807572179244,-3.3171539562446446,Entire home/apt,100,7,0,,,1,0
20987241,The best of both worlds,14744874,Barbara,,Currie East,55.90179234386233,-3.295069016941691,Private room,40,3,0,,,1,50
8693406,"Stylish, spacious house",42825752,Alan,,Currie East,55.90346414734257,-3.2971770135861003,Entire home/apt,150,5,0,,,1,0
10745038,Spacious Double in Family Home,55549854,Katherine,,Currie East,55.896019244460625,-3.311820269233081,Private room,29,2,4,2016-07-18,0.22,1,0
18884593,Comfortable double room,35020798,John,,Currie East,55.89921238480165,-3.304654589033648,Private room,50,1,0,,,1,0
