id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
24469,Fortezza/City Centre Modern Apt 2+2,99178,Benedetta And Lorenzo,,Centro Storico,43.78307660048559,11.244180125685817,Entire home/apt,80,2,0,,,5,312
24470,Fortezza/City Centre Modern Apt 2+1,99178,Benedetta And Lorenzo,,Centro Storico,43.782870966540315,11.244309553583072,Entire home/apt,75,2,2,2010-10-22,0.02,5,302
24471,Fortezza/City Centre Modern Apt 4+2,99178,Benedetta And Lorenzo,,Centro Storico,43.782915691549576,11.244599780092537,Entire home/apt,135,2,0,,,5,329
24472,Fortezza/City Centre Modern Apt 4+2,99178,Benedetta And Lorenzo,,Centro Storico,43.78149820586159,11.24506912179179,Entire home/apt,120,2,2,2012-04-11,0.02,5,324
24807,Beautiful Apartment Florence & WIFI,68490,Alberto,,Campo di Marte,43.778133307706305,11.292017659395343,Entire home/apt,51,2,322,2018-05-29,3.26,1,281
26738,N4U Guest House Florence,113883,N4U Guest House,,Centro Storico,43.77198000959901,11.256947466413639,Private room,139,1,28,2017-07-13,0.29,2,356
29982,Beautiful 2 bedrooms near Duomo,129216,Cristina,,Centro Storico,43.77449589011903,11.253957270532243,Entire home/apt,200,3,18,2018-05-15,0.27,19,296
31840,A Residenza Martin  Classic room,136927,Veronica,,Centro Storico,43.77788056727444,11.251083840760307,Private room,70,1,90,2018-06-02,0.93,6,118
32120,Welcome at Corte Verde in Florence,99235,Lucia,,Gavinana Galluzzo,43.76351997902214,11.27725752511561,Private room,75,1,13,2018-06-16,0.14,1,81
32180,Charming Gem - Oltrarno City centre,13925330,Cesare,,Centro Storico,43.769639246810556,11.243597835159706,Entire home/apt,89,3,8,2018-05-28,0.08,2,358
32395,your room in florence,140170,Fabio,,Centro Storico,43.761583619308226,11.241882475394666,Private room,80,2,438,2018-06-07,4.56,4,306
36199,Campuccio Apt- Santo Spirito Area,155473,Raffaella & Simone,,Centro Storico,43.76775667004049,11.242442850989079,Entire home/apt,95,3,24,2018-05-05,0.27,2,277
