id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
4826,The Place,6603,Kaan,,Uskudar,41.0564988437772,29.053673896223184,Entire home/apt,423,1,1,2009-06-01,0.01,1,365
20815,The Bosphorus from The Comfy Hill,78838,Gülder,,Besiktas,41.06984247188901,29.045452236902722,Entire home/apt,105,3,36,2018-03-30,0.37,2,325
25436,House for vacation rental furnutare,105823,Yesim,,Besiktas,41.07731237300444,29.038905975652376,Entire home/apt,500,30,0,,,2,139
27271,LOVELY APT. IN PERFECT LOCATION,117026,Mutlu,,Beyoglu,41.032195423606126,28.98216272871021,Entire home/apt,149,5,1,2014-10-20,0.02,1,219
27831,"Large, clean, spacious apartment",120067,Defne,,Sisli,41.0675121390994,29.00325479736752,Entire home/apt,379,1,0,,,2,364
28277,Duplex Apartment with Terrace ,121607,Alen,,Sisli,41.04470758848135,28.98567437019367,Entire home/apt,492,3,0,,,20,336
28318,Cosy home overlooking Bosphorus,121721,Aydin,,Sariyer,41.09047578219982,29.05558947224637,Entire home/apt,487,3,0,,,1,365
29241,"↪ Istanbul, Your second house ",125742,Şevki,,Beyoglu,41.04844333940777,28.95253938225249,Private room,202,3,0,,,1,365
29571,New Decorated and Fantastic Bosphorus View,127321,Mustafa,,Besiktas,41.045382454604024,29.012327430667312,Entire home/apt,597,2,2,2017-06-26,0.03,17,365
29574,Bosphorus View Apartment  Sunlight 3,127321,Mustafa,,Besiktas,41.044647931480185,29.014055952515655,Entire home/apt,375,3,0,,,17,365
29577,Bosphorus View from your home,127321,Mustafa,,Besiktas,41.045479642288456,29.014448466047565,Entire home/apt,373,2,1,2013-05-26,0.02,17,365
29578,Fully furnished Garden Terrace,127321,Mustafa,,Besiktas,41.04593705782611,29.012385714167714,Entire home/apt,193,3,0,,,17,364
29579,SEA VIEW APARTMENT IN ISTANBUL 11,127321,Mustafa,,Besiktas,41.04389267650757,29.01442847133838,Entire home/apt,492,3,0,,,17,365
29580,SEA VIEW APARTMENT IN ISTANBUL 303,127321,Mustafa,,Besiktas,41.045888441400486,29.01376175228187,Entire home/apt,373,3,0,,,17,365
29582,Peacefull apartment and Location for living,127321,Mustafa,,Besiktas,41.045611258862294,29.012244234238203,Entire home/apt,218,3,2,2015-03-24,0.05,17,364
