id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
30187,Le Petit Tramassac - Old town Lyon,2923669,Vincent,,5e Arrondissement,45.76426848770418,4.826654502608089,Entire home/apt,70,2,5,2017-05-23,0.05,7,63
34439,LOGE SAINT JEAN DANS LE VIEUX LYON,148706,Jean Luc,,5e Arrondissement,45.76443081727668,4.826587520825782,Entire home/apt,80,2,2,2017-11-03,0.02,3,333
56766,Amazing duplex-terrace in old Lyon ,269557,Isabelle,,5e Arrondissement,45.76320502281404,4.829109074617594,Entire home/apt,160,3,54,2017-08-17,0.59,1,321
59479,DUPLEX  AU COEUR DU VIEUX LYON,148706,Jean Luc,,5e Arrondissement,45.764240865613324,4.828557040240467,Entire home/apt,90,2,2,2017-11-26,0.03,3,339
71455,La Loge des Avocats - Vieux Lyon,365968,Daphné Et Vincent,,5e Arrondissement,45.762064777333755,4.827510791148491,Entire home/apt,80,2,3,2017-09-24,0.11,2,153
77104,Nice Flat in the center of Lyon,411285,Clementine,,1er Arrondissement,45.76962175928484,4.82750046533397,Entire home/apt,70,2,16,2017-01-24,0.18,1,359
93060,Glamorous in Lyon,499809,Francesca,,2e Arrondissement,45.76136417536354,4.836875656685984,Entire home/apt,300,2,0,,,1,247
99385,Les 3 Maries au coeur de la traboul,148706,Jean Luc,,5e Arrondissement,45.76285342540708,4.829519199999315,Entire home/apt,80,2,1,2013-04-30,0.02,3,344
105104,In an old 1940 typical Lyonnais,546198,Noël,,6e Arrondissement,45.76401855189409,4.848930089099391,Private room,51,15,69,2016-07-30,0.82,1,363
134539,"Centre of old town,home sweet home",660135,Pauline,,5e Arrondissement,45.75495209347517,4.823413034390975,Entire home/apt,52,4,97,2017-12-29,1.16,1,80
136556,At home near Les Halles Paul Bocuse,668524,Nathalie,,3e Arrondissement,45.762080087635866,4.853271556388945,Entire home/apt,99,3,1,2012-09-14,0.01,1,106
137132,"Bel apartment, 2 rooms, Lyon center",670404,Sandrine,,6e Arrondissement,45.76853733834478,4.8531216745011205,Entire home/apt,88,3,17,2018-04-13,0.21,1,270
140216,Beaujolais - 2 rooms - Lyon 2nd,683086,Karine,,2e Arrondissement,45.76380985405481,4.834227644223922,Entire home/apt,135,60,1,2016-05-15,0.04,78,141
174304,Apartment in the heart of the city,832917,Giuseppina,,1er Arrondissement,45.76614476201691,4.833162571794303,Entire home/apt,120,2,184,2018-04-27,2.59,2,297
233309,private room in nice apartment,1221016,Romain,,3e Arrondissement,45.7579412954431,4.875723306326083,Private room,30,1,7,2018-03-29,0.09,6,0
233372,Clear &very central flat Vieux Lyon,1221417,Max,,5e Arrondissement,45.75830308959569,4.821942818482329,Entire home/apt,70,2,127,2018-05-15,1.59,1,317
