id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
18628,Greta Studio Wifi Chueca en Madrid,71597,Gema & Jimmy,Centro,Justicia,40.42471531753738,-3.698638187705839,Entire home/apt,54,4,40,2018-06-19,0.40,1,222
19864,"PLAZA MAYOR  (wifi, air conditioning)",74966,Ismael,Centro,Embajadores,40.41341817984863,-3.7068384459193613,Entire home/apt,64,2,93,2018-07-08,1.24,1,133
21853,Bright and airy room,83531,Abdel,Latina,Cármenes,40.403409529595194,-3.740841968636018,Private room,17,4,32,2018-06-17,0.70,2,250
24805,Gran Via Studio Madrid,101471,Iraido,Centro,Universidad,40.42202187481732,-3.7039541031364283,Entire home/apt,60,5,2,2017-07-03,0.05,2,300
24836,"Select the Madrid more ""cool"".",101653,Tenty,Centro,Justicia,40.419951134923735,-3.6976372468400642,Entire home/apt,115,3,45,2018-06-13,0.52,1,312
26823,Roon for two people,114340,Agustina,Arganzuela,Legazpi,40.39116097569405,-3.6882338394434337,Private room,45,2,28,2018-05-01,0.30,2,365
26825,Single Room whith private Bathroom,114340,Agustina,Arganzuela,Legazpi,40.38985046311008,-3.690107786240652,Private room,25,2,106,2018-07-08,1.07,2,326
30320,Great Vacational Apartments,130907,Dana,Centro,Sol,40.41552454813678,-3.703458600171854,Entire home/apt,65,3,148,2018-03-28,1.52,3,282
30711,Sunny bedroom in Madrid centertown,132184,Luis,Arganzuela,Palos de Moguer,40.402985620212526,-3.691815647976894,Private room,149,2,0,,,1,365
30924,B & B in MADRID!!! ,132736,Olga,San Blas - Canillejas,Rejas,40.445083781620696,-3.5915012405093893,Private room,29,1,125,2018-02-03,1.47,1,0
30959,Beautiful loft in Madrid Center,132883,Angela,Centro,Embajadores,40.41110750294009,-3.7026889396710567,Entire home/apt,54,3,8,2017-05-30,0.21,1,0
38970,Single bedroom shared bathroom,167219,Delia,Chamberí,Almagro,40.4380807118163,-3.6956191152499023,Private room,35,2,7,2017-09-14,0.09,1,364
40718,COZY APARTMENT CIBELES-GRAN VIA-PTA DEL SOL-CHUECA,175752,Sofia,Centro,Justicia,40.419778177049395,-3.697298893364473,Entire home/apt,55,3,91,2018-06-27,0.94,1,332
40916,Holiday Apartment Madrid Center,130907,Dana,Centro,Universidad,40.42096089699925,-3.704280279136888,Entire home/apt,90,3,26,2018-01-21,0.28,3,280
