id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
38085,Comfortable home in the Pennines,163420,Liz,Rochdale,Rochdale District,53.61331161872519,-2.1018635976406945,Private room,21,1,49,2018-05-04,0.57,2,76
68951,Whole House for rent ,341682,Paul & Della,Bolton,Bolton District,53.562138018200066,-2.5330466393990907,Entire home/apt,65,2,68,2018-04-29,0.90,1,175
85109,"Best Location! !, WIFI, En-suite, Balcony!",465854,Karyo,Manchester,City Centre,53.48073881679695,-2.2318592873303738,Private room,60,2,338,2018-05-13,3.94,4,338
157612,New attic space/single & Dble room,757016,Margaret,Salford,Salford District,53.50113950483393,-2.264290369237365,Entire home/apt,34,2,64,2018-05-06,0.84,1,326
239257,Welcome to Chorlton Manchester,1254867,Marian,Manchester,Whalley Range,53.44945651278453,-2.2696802401559544,Private room,20,1,9,2018-04-29,0.13,1,273
263758,Double room next to lovely park,1243233,John,Manchester,Didsbury East,53.42675204101169,-2.2184351503797837,Private room,26,14,16,2016-08-14,0.22,4,39
280583,Lovely Double Room,1462994,Rebecca,Bolton,Bolton District,53.532710564611,-2.524701036750616,Private room,30,1,8,2017-09-01,0.15,2,362
283495,En-suite room in detached house,1476718,Alison,Rochdale,Rochdale District,53.56259004889993,-2.219452492859717,Private room,50,2,8,2017-04-06,0.22,1,363
299194,Cosy Garden Chalet for all seasons,1542010,Minh,Stockport,Stockport District,53.375997057148695,-2.044624720973718,Entire home/apt,50,1,210,2018-04-23,2.83,1,329
310742,Nice room 10 minutes walk from town,1603652,Francisca,Manchester,Ancoats and Clayton,53.48251439199743,-2.228019858297774,Private room,37,180,65,2018-01-12,0.85,1,365
311041,Single Room near Manchester Airport,1599669,Manish,Manchester,Sharston,53.38299060019063,-2.2561846821768374,Private room,34,1,0,,,1,365
332580,**ELEGANT STAY** CENTRAL MANCHESTER,1694961,Manchester,Manchester,City Centre,53.478590922778274,-2.2319499815929285,Private room,48,2,306,2018-04-12,4.45,4,0
353590,Salford Apartment in Chapel St Manchester,1447627,Grace,Salford,Salford District,53.482581244940576,-2.2639998318907297,Entire home/apt,110,3,35,2018-04-08,0.48,1,343
360142,Light and Airy Double Bedroom close to City Centre,1821587,Ekua,Manchester,Moss Side,53.456779273426086,-2.235125721655688,Private room,32,3,38,2017-12-11,0.52,2,216
371588,Trendy City Centre with View/canal,1871359,Samantha,Manchester,Bradford,53.480514352023825,-2.224139895608661,Entire home/apt,85,2,65,2018-04-09,0.93,1,78
387073,"Perfect Family Retreat, Manchester, Near M60",1936854,William,Salford,Salford District,53.52374064310656,-2.385024455513519,Entire home/apt,90,2,165,2018-05-06,2.31,4,114
389705,5 Star Rated Double in Quiet Street,1949730,Steve,Tameside,Tameside District,53.47205237713051,-2.127196889159353,Private room,30,4,65,2018-04-26,0.89,1,131
390028,Single Room with Private Bathroom,1951261,Gillian,Stockport,Stockport District,53.3892686916625,-2.214009711089253,Private room,35,2,32,2017-12-17,0.55,1,364
391046,WHOLE HOUSE ALL FURNISHED +2PARKING,1955765,Laura,Wigan,Wigan District,53.52176241904564,-2.485970084833757,Entire home/apt,72,2,23,2018-01-19,0.31,1,138
391704,bright dble room,1958935,Janet,Rochdale,Rochdale District,53.65803427592411,-2.084206148134971,Private room,25,1,0,,,1,365
404311,"Very Small No Frills, cheap room Nr MediaCity",1946479,"Sue, Murat & Laurent",Salford,Salford District,53.48202515113632,-2.2957460590160297,Private room,14,1,113,2018-05-13,15.99,4,344
404313,"Nice bedroom, 2 singles, v close to MediaCityUK",1946479,"Sue, Murat & Laurent",Salford,Salford District,53.48394604712965,-2.2978134930954712,Private room,18,1,24,2018-04-30,1.04,4,165
404315,Nr MediaCity & Metrolink,1946479,"Sue, Murat & Laurent",Salford,Salford District,53.48259677828753,-2.29574006743006,Private room,22,1,16,2016-07-23,0.30,4,256
411843,Birley View - Fortnight/Month Discounts available,2046430,Tom,Manchester,Hulme,53.4690217694771,-2.245078820207899,Entire home/apt,125,2,184,2018-04-22,2.48,3,94
412687,Altrincham's original and cosy Airbnb flat.,2053716,Frank & Bev,Trafford,Trafford District,53.392530655475724,-2.348058803931102,Entire home/apt,58,2,178,2018-05-07,2.53,1,220
554282,Well Presented Large Double Room,7021,Demetris,Trafford,Trafford District,53.45464360257737,-2.277369090919417,Private room,40,1,77,2018-04-29,1.08,2,360
556920,Central Manchester room private bath and character,2738322,Jane,Manchester,Ancoats and Clayton,53.48137692789735,-2.223660639543736,Private room,39,1,79,2018-04-28,3.74,1,340
568034,Comfortable double room in Chorlton,2794391,Helen,Manchester,Chorlton,53.44634905747394,-2.2781829148762385,Private room,35,1,236,2018-04-30,3.36,2,353
610613,Dbl Room good access to city centre,3027563,Bob And Christine,Manchester,Didsbury West,53.42743935983521,-2.2327302735500214,Private room,31,1,344,2018-05-06,4.90,3,224
