id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
6400,The Studio Milan,13822,Francesca,,TIBALDI,45.44195002709878,9.17797437310172,Private room,90,1,11,2018-04-21,0.11,1,358
12186,Home sweet home in  Città studi,46951,Valeria,,CITTA' STUDI,45.471122409666066,9.237204146335053,Entire home/apt,49,1,23,2018-05-26,0.23,1,334
17232,MPX-Center-EXPO Value/Money,66856,Simone,,BOVISA,45.5046523758862,9.160865832312872,Shared room,22,2,52,2018-02-17,0.52,2,82
18429,Best Opportunity MPX-EXPO-CENTER,66856,Simone,,BOVISA,45.50479538227809,9.1619852912746,Entire home/apt,100,2,0,,,2,364
23986,""" Characteristic Milanese flat""",95941,Jeremy,,NAVIGLI,45.44990618158722,9.175971419960106,Entire home/apt,150,1,12,2018-04-22,0.16,1,343
28300,nice flat near the park,121663,Marta,,SARPI,45.47814064152113,9.172938848391015,Private room,200,1,8,2015-10-25,0.11,1,365
32119,Nico & Cynthia's Easy Yellow Suite,138683,Nico&Cinzia,,VIALE MONZA,45.51987558987919,9.223101017889768,Entire home/apt,70,3,14,2018-06-24,0.14,5,172
32649,Nico&Cinzia's Red Easy Suite!,138683,Nico&Cinzia,,VIALE MONZA,45.519422264699955,9.226153657231455,Entire home/apt,70,3,27,2018-05-07,0.28,5,330
37256,COZY FULLY FURNISHED PRIVATE STUDIO CITY CENTER,119002,Giancarlo,,GUASTALLA,45.47073597616929,9.205777188546783,Private room,55,2,29,2018-04-22,0.31,2,349
40470,Giacinto Cosy & clean flat near MM1,174203,Giacinto,,VIALE MONZA,45.5211099006747,9.227273368691808,Entire home/apt,88,3,36,2017-07-24,0.39,2,299
42732,"Navigli near down town, linked Expo",186608,Francesco,,TICINESE,45.45663597118098,9.17661513934793,Entire home/apt,199,1,14,2018-04-22,0.41,2,365
46536,Nico & Cinzia's Pink Suite!,138683,Nico&Cinzia,,VIALE MONZA,45.52212784078296,9.226927572429036,Entire home/apt,70,3,23,2018-05-30,0.29,5,296
52181,Nico House,241148,Daniele Nicola,,BAGGIO,45.46442623198411,9.090459647929787,Entire home/apt,60,4,0,,,1,0
55055,BEAUTIFUL MODERN ATTIC CENTER OF MI,246217,Cristina,,BUENOS AIRES - VENEZIA,45.480550701868125,9.216286427146615,Entire home/apt,125,3,2,2016-04-16,0.06,1,365
55388,Milan 70mq fashion/design district,261549,Christian,,GIAMBELLINO,45.449758278064195,9.136371057413223,Entire home/apt,95,3,5,2018-03-17,0.10,1,362
62215,100 m. Central Station - Quadruple Room,302607,Larysa,,CENTRALE,45.488351743709735,9.202119173094617,Private room,700,1,43,2017-01-30,0.50,15,347
69749,Charming Apt in the heart of Milan,144021,Silvia&Max,,XXII MARZO,45.46738592823534,9.207862284151654,Entire home/apt,140,2,92,2018-05-22,1.03,4,89
70591,"Me, wifi, and my nest: for you!",358567,Chiara,,SARPI,45.482067025296075,9.179059197083427,Private room,50,1,157,2018-05-15,1.75,1,364
73892,BRERA LOVELY STUDIO FOR YOU 3,387110,Silvia,,BRERA,45.4701457764439,9.191338781487808,Entire home/apt,100,2,82,2018-01-01,0.92,4,364
74169,BRERA design district,268127,Alessandra,,BRERA,45.471686928991204,9.184122068177453,Entire home/apt,125,2,3,2016-04-16,0.03,1,362
74835,Amazin attic in front of the castle,157872,Augusto,,DUOMO,45.46889845954664,9.17943018418619,Entire home/apt,280,7,3,2017-04-09,0.06,1,0
75741,Brera Open Space Bianco sul Tetto,387110,Silvia,,BRERA,45.471792628336004,9.183780849123542,Entire home/apt,130,2,174,2017-10-24,1.94,4,258
76357,Appartamento Design a Sant'Ambrogio,407513,Lorella,,DUOMO,45.46039829999655,9.176529593453767,Entire home/apt,120,2,258,2018-06-28,2.99,2,312
77958,BRERA  LOVELY WHITE BOAT STUDIO 2,387110,Silvia,,BRERA,45.471169164416544,9.19134893392088,Entire home/apt,100,2,68,2017-08-31,0.82,4,344
79696,Special loft Navigli/Bocconi/Duomo,429570,Cristina,,TICINESE,45.44843712118216,9.182203783611634,Entire home/apt,100,2,42,2018-06-28,0.48,4,349
81202,Sunny Apartment Milan,439051,Gian Luca,,ISOLA,45.49018633521136,9.196591309146335,Entire home/apt,75,2,6,2018-04-21,0.07,1,364
81908,DESIGN FASHION WEEK APARTMENTT,445128,Anna,,BANDE NERE,45.4536409917606,9.14172003305391,Entire home/apt,200,7,3,2013-04-17,0.03,1,234
82227,Great apartment in Milan's center,447162,Michele,,WASHINGTON,45.46437647163813,9.161442766160356,Entire home/apt,120,3,5,2015-03-05,0.06,1,363
82635,Mansarda con terrazzo,443414,Paola,,XXII MARZO,45.458529688845985,9.215678721271672,Entire home/apt,90,5,4,2018-04-20,0.05,1,87
83335,PORTA ROMANA SPACIOUS 1BR FLAT - 10 MIN TO DUOMO!,454244,Andrea,,PORTA ROMANA,45.45090498793925,9.21169880235225,Entire home/apt,75,2,61,2018-04-24,0.70,1,161
84119,100 m Central Station - Single Room,302607,Larysa,,CENTRALE,45.48845322530788,9.203653683202978,Private room,300,1,21,2016-11-15,0.34,15,347
84741,Nice room with private bathroom,443989,Francesca,,LAMBRATE,45.4705726503679,9.243328716121853,Private room,27,2,310,2018-06-22,3.55,2,28
84903,Cozy apartment for rent in Milano!!,464513,Alessandra,,LAMBRATE,45.47079864918548,9.240817809430094,Entire home/apt,35,2,2,2018-06-29,0.03,1,83
84997,100 m. Central Station - Triple Room,302607,Larysa,,CENTRALE,45.48864741830422,9.202100161981775,Private room,600,1,16,2017-01-04,0.22,15,347
84998,100 m Central Station - Double Room,302607,Larysa,,CENTRALE,45.4884795267971,9.203101747901558,Private room,500,1,18,2016-12-24,0.27,15,347
85798,"The Family Loft, Terrace | Parking | MILANO",470396,Michelle,,LAMBRATE,45.47251042031551,9.246451670551,Entire home/apt,100,5,49,2018-05-21,0.58,3,32
88130,Great comfortable & quite APT. x 4 people!,481475,Cinzia,,VILLAPIZZONE,45.497431927288126,9.145719597646622,Entire home/apt,195,2,4,2016-04-18,0.05,1,363
90830,Beautiful original loft with garden,414209,Laura,,NAVIGLI,45.44657558530219,9.164189725268482,Entire home/apt,235,4,12,2018-04-23,0.14,1,363
91789,Apartment Milan,495190,Enrico,,BANDE NERE,45.457436726959344,9.150553570814518,Entire home/apt,48,1,39,2018-07-06,0.44,1,347
93025,Elegant Apartment - Milano downtown,499743,Alessandro,,GUASTALLA,45.47204168800289,9.196396451476893,Entire home/apt,120,2,50,2018-04-29,0.68,1,308
93232,Spacious luminous central flat,500414,Chiara,,XXII MARZO,45.46635246707462,9.214230883915953,Private room,60,5,9,2017-02-24,0.10,1,364
93888,44 Suite Harmony Central train Station,502750,Silvano,,CENTRALE,45.48376234650402,9.204033394565359,Entire home/apt,90,1,368,2018-07-08,4.72,4,359
94043,beautiful apartment in Moscova area,503193,Silvia,,SARPI,45.481099371191995,9.179559466903608,Entire home/apt,180,14,22,2015-04-19,0.28,2,157
94233,Nice Loft close to C.so Como Milan,503840,Andre & A.,,ISOLA,45.48712031135363,9.192998621444914,Entire home/apt,95,1,38,2018-04-21,0.44,4,365
94354,Dbl/Trpl Room metro M5 Marche 8' from Central St.,493149,Giò,,MACIACHINI - MAGGIOLINA,45.497647922700025,9.193816236042592,Private room,28,1,70,2018-04-18,0.80,2,45
98119,NiceRoom & SofàBed under the Roof !,503840,Andre & A.,,ISOLA,45.48749500725649,9.191828475310713,Private room,65,2,33,2017-12-31,0.38,4,365
98500, LUXURIOUS bright adjacent Avenida ,514653,Angelo,,CITTA' STUDI,45.48539134488017,9.226859050272212,Private room,195,1,11,2017-06-15,0.15,3,365
99203,b & b Cesena5,522476,Maria Cristina,,GHISOLFA,45.49190019289282,9.163004695434477,Private room,90,1,2,2011-09-13,0.02,3,365
99234,Loft | Private Bathroom | Terrace | Parking,470396,Michelle,,PARCO FORLANINI - ORTICA,45.469565054218485,9.245072243441491,Private room,49,5,86,2018-05-24,1.55,3,7
99947,Apartment Navigli Milan Center,525886,Antonio,,TICINESE,45.44617599061336,9.18215243309875,Entire home/apt,140,4,0,,,1,365
101087,"Flat "" Chiesa Rossa2 in Milan",530151,Vincenzo,,STADERA,45.43048023470808,9.18284773257399,Entire home/apt,80,3,7,2017-11-25,0.09,1,279
101550,"S. Siro - Bright, quiet & close to everywhere",531941,Iacopo,,S. SIRO,45.476102252636146,9.121870711817722,Private room,17,90,51,2017-07-05,0.67,1,344
102817,Open Space Loft Navigli Area Milano,512747,Paolo Maurizio,,S. CRISTOFORO,45.44421023819912,9.150652123519354,Entire home/apt,60,2,382,2018-07-09,4.71,3,259
105082,Bright Room in a Charming Flat,194148,MariaVittoria,,BUENOS AIRES - VENEZIA,45.480637593293025,9.207783978207202,Private room,75,2,9,2017-04-07,0.10,2,364
105529,CorsoComo Brera Room+bath inTerrific Apartment,546986,Maria Rita,,BRERA,45.48163206826588,9.18320593532331,Private room,115,1,14,2018-04-21,0.17,2,283
106092,Nice room in Sant'Ambrogio - centro,407513,Lorella,,DUOMO,45.46043607506935,9.175152464411939,Entire home/apt,55,2,35,2017-04-07,0.43,2,46
107529,Cosy room close to Udine metro stop,194790,Paola,,PARCO LAMBRO - CIMIANO,45.491029008026885,9.232542271978984,Private room,37,1,47,2018-04-26,0.56,3,352
