id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
42932,"Charming apartment, Oslo Center, Ro",187463,Cecilie,,Frogner,59.91233609488008,10.723842081791384,Entire home/apt,1925,2,24,2017-10-14,0.43,1,331
43431,Room for recreation up town Oslo,189712,Jayce,,Frogner,59.91810642379358,10.707144840532187,Entire home/apt,474,2,48,2016-10-25,0.53,3,343
71725,Central big room - ap with balcony ,368229,Reidun,,Gamle Oslo,59.906112187107695,10.780001254454435,Private room,481,4,45,2017-04-18,0.52,1,241
77108,Friendly & spacious in uptown Oslo,412523,Gunn Hild,,Frogner,59.924777260512144,10.716489638160397,Entire home/apt,1824,7,13,2012-04-17,0.15,1,171
85902,"Stylish design apt, east. Close to train station",250159,Melissa,,Gamle Oslo,59.91264988439912,10.772632614893483,Entire home/apt,792,1,39,2017-09-19,0.46,2,105
87780,Apartment in the heart of Oslo,480598,Ellef,,Gamle Oslo,59.90719502843222,10.76864582905315,Entire home/apt,776,1,8,2014-07-06,0.09,1,349
88338,"Cozy, quiet and sunny! Adamstuen - central Oslo",483107,Julian,,St. Hanshaugen,59.93074756479543,10.732609774026274,Entire home/apt,722,5,10,2017-04-18,0.36,1,0
92103,Trendy Urban Downtown Oslo.,496205,Dorte,,Grünerløkka,59.91974917380601,10.754660708243263,Entire home/apt,1141,3,20,2013-08-18,0.24,1,236
123041,"Cozy room in design apartment, central east side",250159,Melissa,,Gamle Oslo,59.91254035057504,10.774085065515939,Private room,349,1,228,2018-01-15,2.73,2,61
149776,Bird's nest in the heart of Oslo,714768,Henrik,,St. Hanshaugen,59.92186691441064,10.748174239731544,Private room,768,2,30,2015-06-06,0.36,1,365
163128,Very central&cosy apartment in Oslo,779118,Vibeke,,Grünerløkka,59.928102059020034,10.781931788721934,Entire home/apt,489,4,33,2016-11-06,0.41,1,0
165218,"Bedroom, nice riverview, in Oslo",787976,Jon,,Sagene,59.935567589645935,10.765887509422846,Private room,350,3,18,2018-02-15,0.22,2,54
189484,Quiet apartment w balcony in Oslo,913934,Andreas,,Sagene,59.9322695152697,10.754865983856943,Entire home/apt,916,2,1,2015-07-01,0.03,1,88
190578,Private room in Oslo (very central),920584,Christel,,Frogner,59.92124303135359,10.73107601620228,Private room,653,1,0,,,1,364
209912,Supercharming apt. in lively area!,995679,Martine,,Grünerløkka,59.926746709147515,10.756709279510579,Private room,947,2,0,,,2,364
213320,"★ By Oslo central station, high standard",374009,Jan,,Gamle Oslo,59.909563107265114,10.76463760230546,Entire home/apt,2142,1,212,2018-03-25,2.68,8,295
213353,Nice Apartment Near the Center,305171,R.G.,,Gamle Oslo,59.90845194556159,10.778910562756385,Private room,691,1,149,2018-03-17,1.85,1,361
