id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
23163,"Quiet 1BR directly in the Centre, Air-conditioned 12",5282,Klara,,Praha 1,50.08295416223054,14.416225883431736,Entire home/apt,3707,1,14,2017-05-27,0.15,70,296
23169,M302-Cozy Serviced Studio in Center,5282,Klara,,Praha 1,50.08983425805445,14.423174916966529,Entire home/apt,2478,1,78,2017-12-18,0.80,70,4
26748,Apartment Great LETNA & Terrace,113902,Daniel+Bea,,Praha 7,50.100107432415285,14.425673715643764,Entire home/apt,2273,3,237,2018-04-11,2.57,3,220
26755,Central Prague Old Town Top Floor,113902,Daniel+Bea,,Praha 1,50.085693195303406,14.43343504416385,Entire home/apt,2027,3,136,2018-04-02,3.82,3,260
27916,Cosy & Quiet Studio - Romantic Winter in Zizkov,120384,Hana,,Praha 3,50.0811287843111,14.456795027434243,Entire home/apt,1106,2,317,2018-04-02,3.37,4,128
30762,R23-Elegant Serviced 86m2 | Center,5282,Klara,,Praha 1,50.08934885730812,14.427109136715215,Entire home/apt,5457,1,8,2015-12-01,0.09,70,11
33809,Charles Bridge- stylish apartment .,146052,Karen,,Praha 1,50.08870775633727,14.407694763573776,Entire home/apt,1638,3,209,2018-04-01,2.27,12,182
34088,Newly reconstructed cozy room,147035,Michaela,,Praha 2,50.07522679966621,14.4456643338724,Private room,451,2,265,2017-12-30,3.12,11,257
40726,"Classy Studio, ART NOUVEAU house",174245,Suzanna,,Praha 3,50.07911711503405,14.453728863623422,Entire home/apt,1085,2,78,2018-04-02,0.86,3,313
40728,"Prime Location, Elegant Studio!",174245,Suzanna,,Praha 3,50.078706147889214,14.452128676911594,Entire home/apt,1091,2,95,2018-03-17,1.03,3,332
40908,"Central, Cozy & Quiet Apartment",174579,Petra,,Praha 2,50.076817238273236,14.43510751588367,Entire home/apt,1044,3,34,2018-04-15,0.41,5,264
42514,"1BR next to Pachtuv Palace,Old Town",185641,Victoria,,Praha 1,50.083646822836066,14.41409192783874,Entire home/apt,2150,3,299,2018-04-01,3.20,1,321
44843,COMFY CENTRAL STUDIO,197594,Zuzie,,Praha 2,50.074316808207854,14.433711638975339,Entire home/apt,515,3,55,2018-04-02,1.96,8,160
49874,Red Flavour by Ruterra,227945,Alex And Kate,,Praha 2,50.07136902535263,14.432736575603121,Entire home/apt,1009,3,131,2018-03-01,1.43,85,224
50967,Ruterra 2 BDR Flat for Friends,227945,Alex And Kate,,Praha 3,50.081220084716605,14.448349355636632,Entire home/apt,1003,2,149,2018-04-16,1.63,85,224
52148,Ruterra 2Room Family Apartment,227945,Alex And Kate,,Praha 2,50.07141743945402,14.430689713435724,Entire home/apt,922,2,89,2018-03-30,0.98,85,188
54793,Cozy 2floor Prague apartment,257722,Michaela,,Praha 9,50.11039609677574,14.49766247994403,Entire home/apt,942,2,165,2018-04-06,2.01,11,304
55361,2 bedroom apartment in city centre ,261432,David,,Praha 7,50.0994966103309,14.429218217106031,Entire home/apt,1277,3,4,2017-06-29,0.05,1,261
55382,High class apartment in center,253631,Petra,,Praha 1,50.083968009044035,14.429298124031464,Entire home/apt,758,2,136,2018-04-08,1.53,2,121
55844,Klimt Studio by Ruterra next to Muzeum,227945,Alex And Kate,,Praha 2,50.078017387998734,14.434125985249654,Entire home/apt,1003,3,211,2018-04-05,2.31,85,243
55856,Luxury Ruterra Apartment by Muzeum,227945,Alex And Kate,,Praha 2,50.07832268081159,14.43450585310916,Entire home/apt,1188,2,156,2018-04-10,1.71,85,238
62853,Apartament close to the centre,251790,Radek&Veronika,,Praha 4,50.058719771699316,14.444073542833245,Entire home/apt,1905,1,127,2018-03-30,1.43,1,269
67612,Modern flat in the center of Prague,333807,Marco,,Praha 1,50.07730282483296,14.42658716208516,Entire home/apt,2965,2,149,2017-11-03,1.71,12,177
69335,Ruterra House with Garden by Metro,227945,Alex And Kate,,Praha 14,50.111814912362185,14.554078395475136,Entire home/apt,1647,3,72,2018-04-13,0.83,85,233
70003,Yellow Ruterra studio,227945,Alex And Kate,,Praha 3,50.087691119184356,14.451635085807355,Entire home/apt,741,3,66,2018-04-04,0.77,85,194
73454,Excellent location Old Town B31 2B,383698,Martina,,Praha 1,50.08528979834469,14.419971555836101,Entire home/apt,2642,1,36,2018-02-11,0.43,61,151
74283,Grand Classic Two Bedroom Apartment,315332,Lubos & Marta,,Praha 1,50.08012463731791,14.421927611220886,Entire home/apt,3277,1,48,2018-03-18,0.66,25,309
74366,Stylish Studio in Old Town - B13,383698,Martina,,Praha 1,50.08392618635123,14.41809167064655,Entire home/apt,1524,1,30,2018-02-04,0.35,61,126
74999,Two Bedroom Apartment Vodickova 2,315332,Lubos & Marta,,Praha 1,50.08060352645876,14.422886571854884,Entire home/apt,3010,1,20,2018-04-02,0.27,25,312
75009,Two Bedroom Apartment Vodickova 4,315332,Lubos & Marta,,Praha 1,50.07919075228189,14.421589953279526,Entire home/apt,2765,1,31,2018-03-02,0.38,25,309
75298,Emanuel Apartment Prague Center,398991,Emanuele,,Praha 1,50.09175216314976,14.43323009582792,Entire home/apt,1311,2,12,2018-04-08,0.59,2,258
75926,ARCO Guesthouse 5 - History & Culture,404062,Guenther,,Praha 2,50.070588830086415,14.441640909296424,Private room,1133,2,164,2018-04-06,1.96,7,280
