id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
958,"Bright, Modern Garden Unit - 1BR/1B",1169,Holly,,Western Addition,37.769310377340766,-122.43385634488999,Entire home/apt,170,1,143,2018-06-20,1.31,1,134
5858,Creative Sanctuary,8904,Philip And Tania,,Bernal Heights,37.745112331410034,-122.42101788836888,Entire home/apt,235,30,112,2017-08-06,1.00,1,354
7918,A Friendly Room - UCSF/USF - San Francisco,21994,Aaron,,Haight Ashbury,37.766689597862175,-122.45250461761628,Private room,65,32,17,2016-11-21,0.16,7,365
8014,Newly Remodeled room in big house WIFI market,22402,Jia,,Outer Mission,37.73074592978503,-122.44840862635226,Private room,63,30,83,2018-05-07,1.15,2,155
8142,Friendly Room Apt. Style -UCSF/USF - San Francisco,21994,Aaron,,Haight Ashbury,37.76487219421756,-122.45182799146508,Private room,65,32,7,2017-08-12,0.15,7,296
8339,Historic Alamo Square Victorian,24215,Rosy,,Western Addition,37.775248585892676,-122.43637374831292,Entire home/apt,475,7,26,2017-11-10,0.24,2,89
8567,Lovely 2BR flat Great Location,25601,Sandy,,Western Addition,37.78470745496073,-122.44555431261594,Entire home/apt,255,2,28,2018-05-06,0.26,1,41
8739,"Mission Sunshine, with Private Bath",7149,Ivan & Wendy,,Mission,37.75918889708064,-122.42236687240562,Private room,139,1,588,2018-06-29,5.41,2,122
9225,Artful Potrero Separate Floor with Garden,29674,Gae,,Potrero Hill,37.76258885144137,-122.40543055237004,Private room,135,1,403,2018-07-02,3.81,1,302
10251,Victorian Suite in Inner Mission,35199,Roman & Sarah,,Mission,37.75874294929672,-122.4132720164374,Entire home/apt,265,3,289,2018-06-29,2.69,1,267
10832,Union Square Modern Loft,38836,Bernat,,Downtown/Civic Center,37.78573889680189,-122.40797710199777,Entire home/apt,139,30,17,2018-04-20,0.26,3,328
12041,Sunny/Sunset view room UCSF/USF - San Francisco,21994,Aaron,,Haight Ashbury,37.77018946066375,-122.44594218370484,Private room,85,32,5,2016-10-16,0.06,7,275
12042,Sunny/Sunset view room UCSF/USF - San Francisco,21994,Aaron,,Haight Ashbury,37.76894262424544,-122.44778223886064,Private room,85,32,5,2015-10-18,0.08,7,365
12522,Perfectly located Castro,18431,Brenda,,Castro/Upper Market,37.76074548179248,-122.43032405939661,Private room,79,3,363,2018-06-27,3.52,1,14
14125,Gallery Residence,55475,Olivia,,Mission,37.75490669862631,-122.42245501922534,Entire home/apt,215,3,91,2018-06-14,0.88,1,284
18904,Tranquil Lower Haight w/pvt bath,72464,Patrick,,Western Addition,37.77252151838996,-122.43215647138362,Private room,110,2,321,2018-07-03,4.00,2,29
19040,Mission Garden Retreat,72731,David,,Mission,37.76348966609621,-122.41517400287555,Entire home/apt,188,5,221,2018-06-16,2.18,1,0
21334,Studio loft on top of Russian Hill,81455,Joe,,Nob Hill,37.79579579428225,-122.41533449205012,Entire home/apt,150,4,109,2018-06-28,1.10,1,31
21914,A Friendly Room Apt. Style-UCSF/USF-San Francisco,21994,Aaron,,Haight Ashbury,37.76480029761001,-122.45251322942761,Private room,65,32,14,2017-08-16,0.17,7,341
23540,Modern in-Law Unit in the Happening,92400,Daniel & Svetlana,,Mission,37.75065032945569,-122.41983820914385,Entire home/apt,225,1,91,2018-06-25,0.90,1,119
23611,Bernal Heights Gem with Fab Views !,18732,Cecilia,,Bernal Heights,37.74556318786063,-122.41206808320703,Private room,95,3,217,2018-07-01,2.17,2,340
23630,Castro Guest Suite With Continental Breakfast,93257,Daniel,,Castro/Upper Market,37.759630163946134,-122.4414323272976,Entire home/apt,155,3,319,2018-06-07,3.25,1,271
23680,Central Location & Golden Gate View,93737,Gia,,Pacific Heights,37.793180402836875,-122.4277324794233,Entire home/apt,178,5,20,2018-06-09,0.20,1,17
24450,Atelier Noe 25 Studio in Noe Valley,99058,Judith,,Noe Valley,37.74884818198171,-122.43672598325251,Entire home/apt,199,2,192,2018-06-28,1.92,1,105
24463,"Potrero Hill ""Nest"" Quiet, Comfy & Convenient",99128,Cathryn,,Potrero Hill,37.756445953809276,-122.39910232220872,Private room,155,2,246,2018-06-17,2.49,2,134
24685,Castro/Haight San Francisco,100567,Alison,,Haight Ashbury,37.77161759839722,-122.4383620129092,Private room,79,1,161,2018-06-30,1.66,1,289
24723,Apartment-like rooms in PacHeights,100800,Cynthia,,Western Addition,37.78716464559002,-122.43386112927003,Entire home/apt,195,2,244,2018-06-29,2.43,2,135
25094,San Francisco's Luxury Oasis On Noe,103339,Bruce,,Noe Valley,37.741876130512445,-122.43121541816402,Private room,150,5,16,2018-06-28,0.64,1,321
25463,Modern Zen in the Lower Haight,72464,Patrick,,Western Addition,37.77728949301072,-122.43421149153566,Private room,110,2,361,2018-07-04,3.85,2,28
25662,"Convenient, quiet, private!",106005,Gayle,,Potrero Hill,37.762122016234294,-122.39540903672585,Private room,125,4,276,2018-06-30,2.84,1,275
25927,"CALEF HOUSE Rm 2, Priv Rm in Beaut SF Victorian",109045,Ronda,,Western Addition,37.78894736246063,-122.43030637005006,Private room,110,2,60,2018-05-22,0.80,3,296
26408,Huge Central Victorian/Alamo Square,111141,Isabella,,Western Addition,37.774778481770866,-122.43149873605402,Entire home/apt,393,2,26,2017-11-09,0.31,1,1
27025,"Elegant, Antique Edwardian Apartment on Castro",115673,Luis,,Castro/Upper Market,37.76297967565378,-122.43136441227804,Entire home/apt,175,30,129,2018-03-31,1.30,1,94
