id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
42808,Quiet room right DOWNTOWN Stockholm,186922,Nina,,Norrmalms,59.34341676455758,18.052976871929584,Private room,732,1,52,2017-08-31,0.56,1,357
53895,Modern Architecture in Stockholm,252075,Eva,,Skarpnäcks,59.270535095097706,18.11230513821318,Private room,1042,3,7,2017-05-28,0.08,1,365
66341,Beautiful Apartment Near Center,127925,S,,Hägersten-Liljeholmens,59.304653859560155,18.004467954412657,Entire home/apt,1043,2,18,2016-08-24,0.21,1,352
109193,Top Seaside Stockholm Apartment,564237,Lennart,,Östermalms,59.318414330784876,18.162409649382855,Entire home/apt,1504,5,25,2017-07-25,0.33,1,47
140172,"Fantastic Ravenwood, Stockholm ",643454,Chere,,Skärholmens,59.267721237627406,17.87126990658753,Private room,1051,1,17,2017-08-26,0.20,1,365
145320,In the middle of it all - with a view!,703851,Kim,,Södermalms,59.313635885356,18.05255947973872,Private room,1236,2,24,2018-04-04,2.22,1,112
155220,"Stockholm, new spacoius villa",746396,Madeleine,,Skarpnäcks,59.24666921305679,18.177987562076453,Entire home/apt,1000,3,1,2017-07-15,0.11,3,365
155685,Hornstull with water view!,748592,Robert,,Södermalms,59.31534580890994,18.03277434115707,Entire home/apt,3120,4,22,2015-12-01,0.27,1,17
164448,Double room in central Stockholm with Wi-Fi,784312,Li,,Södermalms,59.31268294099721,18.062578886169565,Private room,597,3,225,2018-04-12,2.75,2,116
166664,"2min to metro, 3stations to town!",793872,Maja,,Skarpnäcks,59.2969363818571,18.108113896142868,Entire home/apt,757,5,5,2017-08-26,0.06,1,15
189278,Lovely modern flat in central SoFo,755254,Kristina,,Södermalms,59.31097973298815,18.07903797561761,Entire home/apt,992,2,14,2018-04-15,0.18,1,3
189520,Cozy room near Älvsjö Exhibition,914316,Ea,,Enskede-Årsta-Vantörs,59.26412595969489,18.02236381862121,Private room,496,1,19,2017-05-25,0.24,10,365
198592,2 room apartment in Södermalm,969565,Cenk,,Södermalms,59.30730525382882,18.08142338778124,Entire home/apt,1203,1,0,,,1,0
201241,Bedroom acces bathroom and kitchen,983621,Jc,,Farsta,59.25797433526253,18.088777138294382,Private room,252,36,69,2017-01-21,0.93,1,168
206221,Doubleroom at Södermalm &trendySofo,1022374,Elisabeth,,Södermalms,59.312259186389056,18.079424254737354,Shared room,648,3,58,2018-03-12,0.75,1,317
208662,"Central, large and 3 balconies",1027549,William,,Kungsholmens,59.334814104329425,18.03018491122974,Private room,798,1,46,2018-01-04,0.58,9,312
220233,Central apartment perfect for two,1137208,Martina,,Norrmalms,59.33948126422573,18.03550502476374,Entire home/apt,883,3,0,,,1,0
220851,One room in appartement,412283,Fredric,,Kungsholmens,59.33375986902346,18.038162546861788,Private room,496,1,35,2017-09-24,0.44,1,322
242188,Single room in central Stockholm with Wi-Fi,784312,Li,,Södermalms,59.31346816395951,18.061058086398,Private room,563,2,225,2018-03-30,2.99,2,129
242871,Large apartment (room) with separate bathrooms,1027549,William,,Kungsholmens,59.336763431272196,18.031220032796856,Private room,799,1,23,2017-08-20,0.32,9,312
259722,Near shopping-IT Business(Bunk bed),1261494,Marcelo,,Rinkeby-Tensta,59.41002938243884,17.936604073699336,Private room,235,21,19,2017-04-14,0.25,1,322
273906,Penthouse in central Stockholm,1432722,Rodrigo,,Södermalms,59.30414306796505,18.10679522735455,Entire home/apt,1682,6,7,2017-07-31,0.10,1,117
274876,Designer apartment innercity Sthlm,1437153,Emma,,Södermalms,59.31849000418968,18.09536385688699,Entire home/apt,3070,3,72,2018-03-26,0.99,1,332
278311,Entire apt (some weeks this summer),1452838,Linnéa,,Farsta,59.245338353250155,18.08728553534048,Shared room,412,2,44,2017-05-26,0.57,1,359
283446,Comfort Stay @ Kista - Super Value!,1476562,Vidhatri,,Rinkeby-Tensta,59.41533315285253,17.914648436033225,Private room,294,2,102,2017-10-08,1.45,1,45
284325,Cute apt in hip central Hornstull,1039129,Linn,,Södermalms,59.316512424329446,18.028850083752626,Entire home/apt,690,2,13,2017-08-17,0.27,1,16
295833,"2 nice and quit b&b rooms, in central Stockholm",1527146,Max,,Södermalms,59.31431727493657,18.066128602890345,Private room,1304,3,41,2018-04-13,0.55,3,269
296857,"A nice B&B room, central Stockholm",1527146,Max,,Södermalms,59.3146405301356,18.067616965835985,Private room,698,4,49,2018-04-01,0.66,3,264
299154,Cosy apartment central at Sodermalm,1541953,Daniel,,Södermalms,59.317666771761914,18.071374294358378,Entire home/apt,1001,2,371,2018-04-10,6.30,1,126
301680,one cosy double room for rent,1554143,Anitta,,Älvsjö,59.27778233953858,17.992263324062208,Private room,487,1,33,2017-12-22,0.47,2,365
302496,"Spacious, bright, unique apartment",1557657,Seta,,Norrmalms,59.34517820897217,18.06044176989631,Entire home/apt,2397,7,40,2018-04-05,0.56,1,300
313195,"Design, style & vintage by Odenplan",956221,David,,Norrmalms,59.34763046007353,18.050151422229657,Entire home/apt,875,3,45,2017-08-13,0.65,1,34
343925,Modern central 1 bedroom flat ,1744774,Annika,,Kungsholmens,59.336604174302686,18.029417753222802,Entire home/apt,756,2,34,2015-05-06,0.46,1,0
347192,"CENTRAL, COSY AND SPACIOUS",1759769,T,,Södermalms,59.31656541422357,18.076751814282975,Entire home/apt,984,3,37,2018-02-11,0.89,1,0
