id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
6623,Venice Blue on Canal apartment,15016,Francesca,Isole,San Polo,45.43823328054841,12.32902341176553,Entire home/apt,162,3,154,2018-06-14,1.46,3,312
6624,Venice garden charme and canal view!,15016,Francesca,Isole,San Polo,45.43845173637327,12.328689457986727,Entire home/apt,272,3,51,2018-02-28,0.62,3,324
12074,Venice home to relax and emotions,15016,Francesca,Isole,San Polo,45.43827219463779,12.327640494834839,Entire home/apt,122,3,171,2018-06-04,1.71,3,269
27116,Charming room with balcony close to S. Mark's,116144,Gianni,Isole,San Marco,45.43221460061223,12.334111602953751,Private room,180,1,361,2018-07-01,3.74,2,267
27574,MINI APARTMENT 30 MT FROM GRAND CANAL,119219,Elisa,Isole,Santa Croce,45.44031251854868,12.323134536184364,Entire home/apt,94,2,215,2018-06-24,2.22,6,316
32261,"Venice, close to Biennale exhibition",139420,Maura,Isole,Castello,45.43451333792966,12.356501944228254,Entire home/apt,80,3,111,2018-07-05,1.28,1,285
33934,LOVELY APARTMENT IN THE CENTER,119219,Elisa,Isole,Cannaregio,45.44480173034443,12.33121154906904,Entire home/apt,103,2,115,2018-06-01,1.20,6,349
44527,Luxury sunny gothic apartment on canal,120215,Marc & Elisabeth,Isole,Cannaregio,45.4475391526058,12.32918077262331,Entire home/apt,300,2,55,2018-04-21,0.63,1,322
44998,Furlani Loft for up to 6,198581,Laura,Isole,Castello,45.43853910169675,12.34958828061086,Entire home/apt,200,5,5,2013-09-25,0.05,7,138
45036,San Toma Apartment - Venice,198581,Laura,Isole,San Polo,45.43722789138038,12.324505860143297,Entire home/apt,120,3,12,2013-07-26,0.13,7,138
46054,Fuseri Apartment -Canal view,198581,Laura,Isole,San Marco,45.434394330168644,12.335087077464504,Entire home/apt,260,2,39,2017-04-11,0.47,7,138
46158,Mini Flat Fuseri - Venice,198581,Laura,Isole,San Marco,45.4346791500784,12.33613038318846,Entire home/apt,120,3,3,2016-04-12,0.09,7,138
46171,Apartment Cà d'Oro - Canal view,198581,Laura,Isole,Cannaregio,45.44184891077019,12.333552616382255,Entire home/apt,110,3,11,2015-10-04,0.12,7,138
47383,Ca' Barba B&B: room n102 (jacuzzi shower),214390,Alessandro,Isole,San Polo,45.43846159542777,12.332354549977016,Private room,145,2,218,2018-06-27,2.30,4,314
