id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
2309,Greenview Design Apartment,2522,Chris,,Leopoldstadt,48.202813679393685,16.40435290953106,Entire home/apt,80,4,66,2018-06-03,0.67,1,340
15883,b&b near Old Danube river,62142,Eva,,Donaustadt,48.241436272861215,16.42811755135127,Private room,85,1,9,2018-01-03,0.23,6,310
25867,The Urban Apartment,108802,Simone,,Hernals,48.21442204235368,16.329541489929348,Entire home/apt,84,2,62,2018-03-31,0.63,5,283
38756,"Apartment with great City View, 5th",166239,Herbert,,Margareten,48.18776487193679,16.3606658099265,Entire home/apt,65,4,137,2018-05-04,1.44,2,272
38768,central cityapartement- wifi- nice neighbourhood,166283,Hannes,,Leopoldstadt,48.2182253872144,16.379255400798087,Entire home/apt,65,3,245,2018-07-07,2.75,2,138
40625,"Near Palace Schönbrunn, Apt. 1",175131,Ingela,,Rudolfsheim-Fnfhaus,48.1852519764605,16.328514884498006,Entire home/apt,110,1,102,2018-06-28,1.06,13,304
51287,little studio- next to citycenter- wifi- nice area,166283,Hannes,,Leopoldstadt,48.21851376328395,16.377809563991573,Entire home/apt,60,3,216,2018-06-28,2.38,2,140
62736,LUXURY DESIGN HOME ViENNA,305673,Sil,,Alsergrund,48.22586803158709,16.364453255125657,Entire home/apt,160,3,19,2017-04-23,0.21,9,313
69591,"VIENNA 4th distr., close to centre",166239,Herbert,,Wieden,48.189051580892134,16.367011388471912,Entire home/apt,50,3,359,2018-06-14,4.00,2,291
70568,apartment2rent - UNO City - Danube,358163,Georg,,Donaustadt,48.222242036901726,16.424604254269774,Entire home/apt,59,3,10,2016-10-03,0.11,5,308
70637,Flat in the Center with Terrace,358842,Elxe,,Leopoldstadt,48.21781405806588,16.380227523979478,Private room,50,2,101,2018-05-13,1.14,4,197
75471,nice big apartment with balcony,363315,Wolfgang,,Ottakring,48.22227366610231,16.31539773782148,Entire home/apt,74,3,47,2018-05-12,0.56,1,135
75500,Lovely Viennese apartment (2-4 p.),400857,Sabine,,Brigittenau,48.23500169547147,16.36614364073317,Entire home/apt,70,4,10,2017-10-26,0.12,1,349
78416,Just renovated - Nice Apartment in Vienna center,421075,Peter,,Rudolfsheim-Fnfhaus,48.19951921429907,16.330749555516665,Entire home/apt,55,1,155,2018-06-23,1.75,1,348
90247,Beautiful New Central Apartment ,489611,Diana,,Neubau,48.20413612928587,16.351219757420974,Entire home/apt,98,1,430,2018-06-22,4.89,2,213
107439,2 minutes to the State Opera House full of light!,518644,Michael,,Margareten,48.19402664720624,16.35991347956133,Entire home/apt,29,1,90,2018-06-19,1.05,43,28
109679,"Near Palace Schönbrunn, Apt. 4",175131,Ingela,,Rudolfsheim-Fnfhaus,48.18444718719854,16.328974740792077,Entire home/apt,55,1,78,2018-05-26,1.02,13,275
111059,"Modern Apartment, 10min to the City",569644,Kateryna,,Hernals,48.21999051272155,16.33303691355204,Entire home/apt,58,3,93,2018-07-03,1.08,3,246
114505,"Near Palace Schönbrunn, Apt. 5",175131,Ingela,,Rudolfsheim-Fnfhaus,48.18478956103866,16.326199049867125,Entire home/apt,55,1,71,2018-05-20,0.82,13,316
114953,"Modern Apartment, free Parking, flexible check-in",562563,Babsi,,Floridsdorf,48.26069542643928,16.400704713592756,Entire home/apt,49,2,11,2018-06-10,0.19,1,27
115945,In the green disctrict of Vienna,585938,Jutta,,Simmering,48.18186258950841,16.41487934628293,Entire home/apt,28,3,0,,,1,0
118392,flat with terrace in the center ..,358842,Elxe,,Leopoldstadt,48.217665435853405,16.379145448036923,Private room,50,2,22,2014-09-18,0.26,4,129
119627,Messe Wien Apartment Vienna,341923,Anika,,Leopoldstadt,48.22155236028578,16.40440499957998,Entire home/apt,58,2,14,2018-06-17,0.17,3,304
121026,Feels-Like-Home Apt @ Praterstern,608240,Andrei,,Leopoldstadt,48.21670538353025,16.391483668461678,Entire home/apt,75,2,184,2018-07-06,2.13,3,291
125683,Cozy studio infront of Prater.,624511,Mathias,,Leopoldstadt,48.21853344380674,16.40307087071219,Entire home/apt,35,2,48,2018-03-04,0.77,2,299
131628,"Holiday Apartment ""Modern Vienna""",647465,Sylvia,,Ottakring,48.216862977215804,16.309792519590637,Entire home/apt,59,4,0,,,2,0
138264,Apartment with roofterrace (#1),675182,Stephanie,,Hernals,48.223159323356235,16.318071191714235,Entire home/apt,92,2,0,,,14,298
143390,Apartment with city center view,164261,Irene,,Wieden,48.19857072024725,16.36689700697044,Entire home/apt,75,3,77,2018-06-30,0.91,1,202
145569,leo's ecoapartment,704670,Anna&Leo,,Wieden,48.189699675156476,16.374659023551647,Entire home/apt,85,1,210,2018-06-29,2.53,1,262
149759,Praterstrs.10 min from Stephanplatz,722110,Mag. Patricia,,Leopoldstadt,48.21237725013315,16.381814596235316,Entire home/apt,120,3,4,2013-05-06,0.05,1,365
150666,apartment2rent - Schönbrunn Palace,358163,Georg,,Rudolfsheim-Fnfhaus,48.18873581681555,16.320862031588263,Entire home/apt,49,3,34,2018-05-31,0.41,5,346
153704,11 minutes to City Center! - WIFI for free!,739130,Roman,,Floridsdorf,48.25590891656331,16.40017477027124,Entire home/apt,69,5,12,2018-04-16,0.14,2,338
153988,City  Center  Apartment  - Free WLAN,739130,Roman,,Alsergrund,48.21529887954228,16.349683828423313,Entire home/apt,48,1,100,2018-06-12,1.19,2,234
155762,"cosy, urban, perfect location",748953,Andrea,,Leopoldstadt,48.22152969886797,16.368902228016257,Entire home/apt,76,3,2,2015-06-06,0.03,2,365
158171,"a unique ZEN place in TOWN, city center.",759129,Odile,,Wieden,48.192564768924,16.36618083048088,Entire home/apt,75,2,173,2018-06-24,2.09,1,40
163792,Apartment Vienna Simmering I,651150,Klaus & Ligia,,Simmering,48.18058691769123,16.41778406447484,Entire home/apt,55,3,64,2018-07-11,0.77,2,217
168717,DESIGN LUXURY HOME VIENNA,305673,Sil,,Alsergrund,48.227028498681534,16.3638841800531,Entire home/apt,99,3,7,2017-04-30,0.09,9,341
169196,City centre Anilin,806216,Megan,,Mariahilf,48.18985841789319,16.349906301973377,Entire home/apt,51,3,22,2018-02-18,0.27,6,267
169672,In the Heart of Vienna - Naschmarkt,808772,Astrid,,Wieden,48.196331484046475,16.3637535011818,Private room,35,2,331,2018-06-26,3.93,1,263
169752,Naschmarkt mini: modern studio in the center,809077,Martha,,Margareten,48.19394630380516,16.358775343123654,Entire home/apt,20,1,44,2018-07-02,1.16,16,43
169852,Naschmarkt classic: spacious flat in the center,809077,Martha,,Margareten,48.19380854888376,16.360687476239793,Entire home/apt,20,1,49,2018-07-01,0.60,16,71
169937,"Wieden family: spacious, modern flat in the center",809077,Martha,,Wieden,48.191526134561315,16.36601397087332,Entire home/apt,30,1,72,2018-07-04,0.98,16,30
170561,Lovely and quiet downtown apartment,813654,Angela,,Leopoldstadt,48.22479681710316,16.368540196241764,Entire home/apt,49,3,6,2017-01-01,0.10,1,0
171457,Sunny Flat with Parkview,818118,Claudia,,Brigittenau,48.22717098672049,16.369925253418852,Private room,92,14,0,,,1,364
171835,Apartment in the Heart of Vienna,495496,Katarina,,Wieden,48.19453311271889,16.374977697036872,Entire home/apt,89,2,145,2018-06-26,1.76,1,325
172530,"Naschmarkt top: spacious, bright and in the center",809077,Martha,,Margareten,48.195685343103555,16.35929448859168,Entire home/apt,30,1,140,2018-07-07,1.66,16,50
174701,Bright+Calm+Elegant+Good Location,834598,Hanna,,Brigittenau,48.23254075005633,16.371684739978516,Entire home/apt,70,4,7,2016-01-10,0.10,1,0
177354,The Urban Market Square Apartment,108802,Simone,,Ottakring,48.21441806861777,16.335838187250715,Entire home/apt,69,2,38,2018-01-06,0.45,5,325
179728,bluedanube apartments Nestroy for 6,268894,Linda And Paul,,Leopoldstadt,48.21766611866875,16.38693409567888,Entire home/apt,169,3,41,2018-06-03,0.51,2,275
179857,**Cosy CityAp 90sqm(!) AUGARTEN**,861392,Gary,,Brigittenau,48.227605189257375,16.37015786330326,Entire home/apt,109,2,49,2018-04-01,0.59,3,184
190751,City Terrace - Airconditioned Studio in the Centre,809077,Martha,,Innere Stadt,48.20154563016319,16.366663152108874,Entire home/apt,89,1,72,2018-07-09,0.88,16,33
197787,Sunny Apartment Roofterrace (#2),675182,Stephanie,,Hernals,48.22393982386154,16.317228875533495,Entire home/apt,82,2,2,2017-01-05,0.09,14,322
197796,Cozy Apartment in the attic (#3),675182,Stephanie,,Hernals,48.224503709332275,16.318372813714433,Entire home/apt,82,2,1,2016-08-03,0.04,14,327
