id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
3362,"Convention Center Rowhouse & In Law: 2 Units, 4BR",2798,Ayeh,,"Shaw, Logan Circle",38.91046091401157,-77.01933067654679,Entire home/apt,433,2,140,2018-04-29,1.23,5,51
3662,Vita's Hideaway II,4645,Vita,,Historic Anacostia,38.861925194900415,-76.98963434965466,Private room,75,2,34,2017-09-24,0.39,3,275
3663,Classic Rowhouse: Porch+ART+Parking,4617,Shawn & Richard,,"Brightwood Park, Crestwood, Petworth",38.95887599408338,-77.02553856882811,Entire home/apt,154,3,40,2018-04-03,0.43,2,0
3670,Beautiful Sun-Lit U Street 1BR/1BA,4630,Sheila,,"Howard University, Le Droit Park, Cardozo/Shaw",38.918417337220134,-77.02750025821416,Private room,75,2,71,2018-05-06,1.84,1,340
3686,Vita's Hideaway,4645,Vita,,Historic Anacostia,38.86313751339534,-76.98836211138284,Private room,65,2,67,2017-10-29,0.73,3,276
3771,Mt. Pleasant,4795,Charlene,,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.927604665445834,-77.03926480030661,Private room,88,1,1,2009-01-21,0.01,1,0
3943,Historic Rowhouse Near Monuments,5059,Heather,,"Edgewood, Bloomingdale, Truxton Circle, Eckington",38.91066468150496,-77.00437662798895,Private room,80,2,420,2018-05-09,3.82,1,24
4002,2 Bedroom Private Condo Suite (Basement Apt),5143,Anthony,,"North Michigan Park, Michigan Park, University Heights",38.94008356704416,-76.98935954361633,Entire home/apt,120,2,146,2018-05-12,1.29,1,290
4197,Bedroom in DC 2 blocks to Metro,5061,Sandra,,"Capitol Hill, Lincoln Park",38.88790588233889,-76.99667843544532,Private room,83,4,25,2018-05-13,0.23,2,71
4283,Adams Morgan Quiet Lrg 2 Bd w/Porch,5498,Eddie & Joanie,,"Kalorama Heights, Adams Morgan, Lanier Heights",38.92203154137748,-77.04447366862459,Entire home/apt,135,21,11,2015-11-01,0.11,1,292
4501,DC Rowhouse,1585,Kip,,"Shaw, Logan Circle",38.913307058781214,-77.02435773855073,Private room,475,2,120,2015-07-16,1.06,1,0
4529,Bertina's  House Part One,5803,Bertina'S House,,"Eastland Gardens, Kenilworth",38.906449391815194,-76.9430500422135,Private room,64,28,99,2018-05-11,0.93,3,177
5589,Cozy in Adams Morgan,6527,Ami,,"Kalorama Heights, Adams Morgan, Lanier Heights",38.91932700130209,-77.04123783141962,Entire home/apt,118,2,68,2018-03-04,0.65,3,76
7202,Classic Rowhouse: Porch+Art+Parking,4617,Shawn & Richard,,"Takoma, Brightwood, Manor Park",38.96000389573571,-77.02425426660086,Private room,85,2,58,2018-05-06,1.65,2,18
8882,Mt.Pleasant ShabbyChic BnB #4 Pr. bath/Close-in DC,27696,Leslie,,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.93122145692801,-77.040164979298,Private room,110,2,309,2018-04-25,2.92,4,332
9097,Adams Morgan Charm,6527,Ami,,"Kalorama Heights, Adams Morgan, Lanier Heights",38.92029483015231,-77.04205426266857,Shared room,45,1,92,2018-05-10,0.88,3,6
9641,Sophisticated Logan Circle Loft,32067,Melissa,,"Dupont Circle, Connecticut Avenue/K Street",38.91146479965452,-77.03636078189254,Entire home/apt,195,2,119,2018-04-26,3.12,4,288
10766,Hospitality@HillEast *****,38641,Gena,,"Capitol Hill, Lincoln Park",38.878050631980585,-76.98829590697422,Private room,99,3,68,2018-03-24,0.65,1,140
11785,Sanctuary near Cathedral,32015,Teresa,,"Cathedral Heights, McLean Gardens, Glover Park",38.92827751337127,-77.07638063405666,Entire home/apt,125,1,313,2018-04-17,3.08,4,349
12442,Peaches & Cream near Cathedral,32015,Teresa,,"Cathedral Heights, McLean Gardens, Glover Park",38.92743626100814,-77.07495926290275,Private room,69,1,44,2018-04-27,0.44,4,287
